       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       47.830       12.510       13.364       17.212
           8            8            8        1.000        0.344       -1.000        0.438       21.139       24.192       12.735       28.315
           9           16           16        1.000        0.559       -1.000        0.250       25.661       24.429       13.571       28.435
          16           16           16        1.000        0.356       -1.000        0.469       24.409       26.289       14.218       30.806
          17           32           32        1.000        0.583       -1.000        0.250       27.571       27.119       15.673       31.738
          32           32           32        1.000        0.362       -1.000        0.484       22.180       29.395       18.299       35.446
          33           48           64        0.549        0.595        0.126        0.250       37.061       14.783       20.717       21.322
          48           48           64        0.418        0.470        0.242        0.367       30.548       16.061       21.314       21.607
          49           72          128        0.644        0.681        0.071        0.188       38.449       13.056       18.405       20.426
          72           72          128        0.518        0.569        0.144        0.277       34.100       14.307       20.437       20.910
          73          108          128        0.513        0.564        0.147        0.281       45.010       14.267       20.325       20.813
         108          108          128        0.372        0.429        0.283        0.418       37.462       17.912       22.895       23.276
         109          162          256        0.614        0.653        0.093        0.211       44.968       14.825       19.959       22.886
         162          162          256        0.479        0.530        0.184        0.314       42.827       14.241       20.177       20.640
         163          217          256        0.476        0.528        0.186        0.316       41.108       14.079       19.995       20.443
         217          217          256        0.370        0.428        0.285        0.422       36.179       14.613       19.594       20.388
         218          325          512        0.614        0.653        0.094        0.212       43.179       11.599       16.735       18.492
         325          325          512        0.478        0.530        0.185        0.316       35.041       12.024       17.931       18.244
         326          435          512        0.477        0.529        0.187        0.317       43.710       12.041       17.854       18.304
         435          435          512        0.369        0.427        0.285        0.424       37.499       13.068       18.167       18.791
         436          652         1024        0.614        0.653        0.094        0.212       41.905       10.030       15.215       17.185
         652          652         1024        0.477        0.529        0.187        0.318       33.718       10.906       16.817       17.219
         653          870         1024        0.476        0.528        0.187        0.318       37.632       10.947       16.731       17.177
         870          870         1024        0.369        0.427        0.284        0.424       33.672       12.220       17.124       17.828
         871         1305         2048        0.615        0.654        0.094        0.212       42.742        9.210       14.440       16.305
        1305         1305         2048        0.477        0.529        0.187        0.318       34.530       10.383       16.404       16.840
        1306         1740         2048        0.476        0.528        0.188        0.319       40.882       10.424       16.410       16.779
        1740         1740         2048        0.368        0.427        0.284        0.425       35.688       11.818       16.947       17.461
        1741         2610         4096        0.615        0.654        0.094        0.212       44.100        8.920       14.155       16.252
        2610         2610         4096        0.479        0.529        0.192        0.318       35.644       10.552       16.295       17.222
        2611         3481         4096        0.483        0.529        0.202        0.319       41.222       10.719       16.071       17.331
        3481         3481         4096        0.377        0.427        0.304        0.425       36.785       12.716       17.151       19.487
        3482         5221         8192        0.635        0.654        0.145        0.212       45.116       10.043       15.043       18.926
        5221         5221         8192        0.495        0.529        0.228        0.319       36.302       11.601       17.277       18.391
        5222         6963         8192        0.491        0.529        0.219        0.319       41.039       11.452       17.156       18.326
        6963         6963         8192        0.377        0.427        0.304        0.425       36.248       13.090       17.935       19.225
        6964        10444        16384        0.627        0.654        0.128        0.212       44.911        9.731       15.693       17.975
       10444        10444        16384        0.501        0.529        0.241        0.319       35.940       11.995       17.317       19.140
       10445        13926        16384        0.501        0.529        0.241        0.319       41.105       11.972       17.270       19.138
