       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       48.353       12.621       13.402       17.775
           8            8            8        1.000        0.344       -1.000        0.438       21.492       24.095       13.035       28.219
           9           16           16        1.000        0.559       -1.000        0.250       26.017       24.279       13.379       28.378
          16           16           16        1.000        0.356       -1.000        0.469       24.559       26.086       14.957       30.683
          17           32           32        1.000        0.583       -1.000        0.250       27.791       26.748       16.115       31.649
          32           32           32        1.000        0.362       -1.000        0.484       22.584       29.111       20.349       35.003
          33           48           64        0.550        0.595        0.129        0.250       37.051       15.175       20.912       21.660
          48           48           64        0.418        0.470        0.244        0.367       30.297       16.377       21.693       21.995
          49           72          128        0.646        0.681        0.075        0.188       38.157       13.529       18.281       20.789
          72           72          128        0.522        0.569        0.154        0.277       34.250       14.797       20.656       21.329
          73          108          128        0.517        0.564        0.157        0.281       45.599       14.711       20.678       21.478
         108          108          128        0.376        0.429        0.293        0.418       37.683       18.486       23.367       23.773
         109          162          256        0.616        0.653        0.098        0.211       45.306       15.253       20.241       23.500
         162          162          256        0.484        0.530        0.196        0.314       43.017       14.656       20.495       21.041
         163          217          256        0.482        0.528        0.197        0.316       41.418       14.689       20.382       20.767
         217          217          256        0.376        0.428        0.297        0.422       36.653       15.174       20.037       20.658
         218          325          512        0.618        0.653        0.104        0.212       43.401       11.981       16.513       18.828
         325          325          512        0.481        0.530        0.194        0.316       35.376       12.297       18.219       18.604
         326          435          512        0.480        0.529        0.195        0.317       43.895       12.324       18.247       18.591
         435          435          512        0.375        0.427        0.299        0.424       39.353       13.472       18.423       19.124
         436          652         1024        0.635        0.653        0.153        0.212       42.331       11.066       15.022       17.797
         652          652         1024        0.509        0.529        0.262        0.318       34.707       12.109       16.955       18.062
         653          870         1024        0.509        0.528        0.264        0.318       38.595       12.137       16.719       18.003
         870          870         1024        0.406        0.427        0.367        0.424       35.187       13.495       18.147       18.653
         871         1305         2048        0.631        0.654        0.141        0.212       43.687       10.026       13.973       16.932
        1305         1305         2048        0.499        0.529        0.239        0.318       35.653       11.265       16.555       17.502
        1306         1740         2048        0.508        0.528        0.260        0.319       42.423       11.630       16.667       17.595
        1740         1740         2048        0.397        0.427        0.349        0.425       37.024       12.985       17.615       18.129
        1741         2610         4096        0.654        0.654        0.208        0.212       45.201       10.877       12.108       17.473
        2610         2610         4096        0.528        0.529        0.312        0.318       37.260       12.714       15.956       18.494
        2611         3481         4096        0.535        0.529        0.329        0.319       43.295       12.994       15.836       18.649
        3481         3481         4096        0.418        0.427        0.399        0.425       38.006       14.578       18.753       21.300
        3482         5221         8192        0.643        0.654        0.176        0.212       46.550       10.780       14.640       20.440
        5221         5221         8192        0.507        0.529        0.259        0.319       37.924       12.326       17.167       19.116
        5222         6963         8192        0.507        0.529        0.258        0.319       43.080       12.269       17.246       19.101
        6963         6963         8192        0.412        0.427        0.384        0.425       38.852       14.713       18.573       20.285
        6964        10444        16384        0.636        0.654        0.155        0.212       47.237       10.501       13.623       18.738
       10444        10444        16384        0.503        0.529        0.251        0.319       38.174       12.444       17.912       19.686
       10445        13926        16384        0.504        0.529        0.251        0.319       43.270       12.409       17.863       19.692
       13926        13926        16384        0.405        0.427        0.367        0.425       38.497       14.733       19.262       20.769
       13927        20889        32768        0.642        0.654        0.173        0.212       46.687       10.938       14.779       19.361
       20889        20889        32768        0.506        0.529        0.258        0.319       37.563       12.679       18.264       20.234
       20890        27852        32768        0.507        0.529        0.259        0.319       43.088       12.679       18.323       20.218
       27852        27852        32768        0.404        0.427        0.365        0.425       38.585       14.953       19.723       21.255
       27853        41778        65536        0.644        0.654        0.180        0.212       47.748       12.092       14.608       19.847
       41778        41778        65536        0.513        0.529        0.274        0.319       38.785       13.516       18.859       21.187
       41779        55705        65536        0.513        0.529        0.274        0.319       44.816       15.024       18.768       21.069
       55705        55705        65536        0.410        0.427        0.380        0.425       41.055       16.952       20.603       23.027
       55706        83557       131072        0.652        0.654        0.203        0.212       51.193       14.646       15.295       23.940
       83557        83557       131072        0.526        0.529        0.308        0.319       49.408       19.660       19.766       26.348
       83558       111411       131072        0.525        0.529        0.306        0.319       48.108       19.685       19.772       26.283
      111411       111411       131072        0.423        0.427        0.413        0.425       42.802       23.333       23.507       28.574
      111412       167116       262144        0.651        0.654        0.202        0.212       53.366       18.809       17.506       28.787
      167116       167116       262144        0.524        0.529        0.304        0.319       42.773       22.180       22.302       30.584
      167117       222822       262144        0.525        0.529        0.308        0.319       49.792       22.394       22.351       30.915
