       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       64.559       12.781       19.819       27.525
           7            7            8        0.393        0.393        0.375        0.375       36.765       24.142       29.443       29.077
           8           10           16        0.597        0.597        0.219        0.219       49.509       21.537       25.893       27.771
          10           10           16        0.525        0.524        0.281        0.281       50.887       22.378       27.703       28.261
          11           13           16        0.492        0.492        0.312        0.313       54.373       22.182       27.580       27.933
          13           13           16        0.432        0.432        0.375        0.375       52.940       23.611       28.689       28.557
          14           19           32        0.641        0.641        0.203        0.203       67.724       19.547       23.410       26.678
          19           19           32        0.547        0.547        0.281        0.281       54.295       20.678       25.754       26.976
          20           28           32        0.530        0.530        0.297        0.297       69.796       21.958       27.041       27.824
          28           28           32        0.411        0.411        0.422        0.422       54.037       23.236       28.155       27.909
          29           42           64        0.633        0.633        0.219        0.219       63.434       19.021       22.809       26.018
          42           42           64        0.516        0.516        0.320        0.320       59.724       20.366       25.681       26.203
          43           54           64        0.508        0.508        0.328        0.328       58.339       20.313       25.671       26.109
          54           54           64        0.427        0.427        0.414        0.414       55.052       22.943       27.987       27.851
          55           81          128        0.650        0.650        0.211        0.211       71.607       18.982       22.504       26.186
          81           81          128        0.530        0.530        0.313        0.313       50.792       18.673       23.859       24.955
          82          108          128        0.526        0.526        0.317        0.316       55.337       18.712       23.903       25.082
         108          108          128        0.429        0.429        0.418        0.418       53.126       22.722       27.807       27.813
         109          162          256        0.653        0.653        0.211        0.211       62.356       18.791       22.259       27.162
         162          162          256        0.530        0.530        0.314        0.314       54.946       18.573       23.759       24.885
         163          217          256        0.528        0.528        0.316        0.316       53.496       18.507       23.724       24.924
         217          217          256        0.428        0.428        0.422        0.422       47.172       19.429       24.534       24.602
         218          325          512        0.653        0.653        0.212        0.212       54.971       15.343       18.968       22.899
         325          325          512        0.530        0.530        0.316        0.316       45.292       16.242       21.535       22.598
         326          435          512        0.529        0.529        0.317        0.317       48.983       16.250       21.479       22.579
         435          435          512        0.427        0.427        0.424        0.424       51.745       17.824       22.870       23.091
         436          652         1024        0.653        0.653        0.212        0.212       51.654       13.692       17.338       21.373
         652          652         1024        0.529        0.529        0.318        0.318       42.304       15.173       20.497       21.812
         653          870         1024        0.528        0.528        0.318        0.318       46.918       15.171       20.418       21.683
         870          870         1024        0.428        0.427        0.425        0.424       42.151       16.957       22.095       22.366
         871         1305         2048        0.653        0.654        0.212        0.212       51.783       12.882       16.508       20.734
        1305         1305         2048        0.529        0.529        0.318        0.318       42.344       14.664       19.927       21.408
        1306         1740         2048        0.528        0.528        0.319        0.319       48.658       14.680       19.911       21.335
        1740         1740         2048        0.428        0.427        0.425        0.425       43.019       16.713       21.788       22.102
        1741         2610         4096        0.654        0.654        0.213        0.212       52.220       12.817       16.242       20.791
        2610         2610         4096        0.529        0.529        0.318        0.318       42.907       15.033       19.940       21.880
        2611         3481         4096        0.529        0.529        0.319        0.319       49.642       15.425       20.445       22.343
        3481         3481         4096        0.428        0.427        0.425        0.425       43.875       17.535       22.077       24.668
        3482         5221         8192        0.654        0.654        0.212        0.212       53.822       13.404       16.528       23.623
        5221         5221         8192        0.529        0.529        0.318        0.319       43.785       15.774       20.527       23.010
        5222         6963         8192        0.529        0.529        0.319        0.319       49.193       15.776       20.543       23.020
        6963         6963         8192        0.427        0.427        0.425        0.425       44.294       18.235       22.889       24.155
        6964        10444        16384        0.654        0.654        0.213        0.212       53.531       13.708       16.922       22.634
       10444        10444        16384        0.529        0.529        0.319        0.319       43.782       16.128       21.043       23.725
       10445        13926        16384        0.529        0.529        0.319        0.319       48.950       16.056       21.037       23.745
       13926        13926        16384        0.427        0.427        0.424        0.425       43.786       18.536       23.440       24.812
       13927        20889        32768        0.654        0.654        0.212        0.212       53.004       13.928       17.075       23.096
       20889        20889        32768        0.529        0.529        0.319        0.319       43.464       16.246       21.308       24.217
       20890        27852        32768        0.529        0.529        0.319        0.319       49.059       16.305       21.334       24.247
       27852        27852        32768        0.427        0.427        0.425        0.425       44.314       18.846       23.761       25.278
       27853        41778        65536        0.654        0.654        0.213        0.212       54.938       15.137       17.258       23.453
       41778        41778        65536        0.529        0.529        0.319        0.319       44.980       16.766       21.787       24.811
       41779        55705        65536        0.529        0.529        0.319        0.319       51.104       18.554       21.807       25.085
       55705        55705        65536        0.428        0.427        0.425        0.425       47.909       21.146       24.727       27.190
       55706        83557       131072        0.654        0.654        0.213        0.212       59.628       17.712       18.515       27.274
       83557        83557       131072        0.529        0.529        0.319        0.319       55.108       23.892       24.027       30.093
       83558       111411       131072        0.529        0.529        0.319        0.319       55.797       23.193       23.871       29.961
      111411       111411       131072        0.427        0.427        0.424        0.425       50.362       28.047       27.250       31.644
      111412       167116       262144        0.654        0.654        0.213        0.212       63.084       22.735       20.771       32.414
      167116       167116       262144        0.529        0.529        0.319        0.319       52.306       26.811       26.088       34.242
      167117       222822       262144        0.529        0.529        0.319        0.319       59.054       28.296       26.636       34.533
      222822       222822       262144        0.428        0.427        0.426        0.425       54.149       31.196       30.183       35.620
      222823       334233       524288        0.654        0.654        0.213        0.212       73.541       26.778       22.440       35.604
      334233       334233       524288        0.529        0.529        0.319        0.319       60.364       30.807       28.903       38.328
      334234       445644       524288        0.529        0.529        0.319        0.319       64.622       31.994       28.736       37.775
      445644       445644       524288        0.427        0.427        0.425        0.425       63.263       38.445       35.524       43.059
      445645       668466      1048576        0.654        0.654        0.213        0.212       78.938       43.221       32.754       52.699
      668466       668466      1048576        0.529        0.529        0.319        0.319       71.330       63.263       45.807       67.239
      668467       891289      1048576        0.529        0.529        0.319        0.319       80.574       63.629       46.331       68.693
      891289       891289      1048576        0.428        0.427        0.426        0.425       74.658       83.879       58.395       79.722
      891290      1336933      2097152        0.654        0.654        0.213        0.212      109.244       82.884       54.812       99.222
     1336933      1336933      2097152        0.529        0.529        0.319        0.319      102.168       98.795       68.040      106.924
     1336934      1782579      2097152        0.529        0.529        0.319        0.319      111.402      101.685       68.653      108.643
     1782579      1782579      2097152        0.427        0.427        0.425        0.425      110.324      115.066       81.158      114.626
     1782580      2673868      4194304        0.654        0.654        0.212        0.212      141.239      102.273       68.739      124.130
     2673868      2673868      4194304        0.529        0.529        0.319        0.319      129.764      118.714       83.218      129.117
     2673869      3565158      4194304        0.529        0.529        0.319        0.319      139.260      115.970       82.231      127.672
     3565158      3565158      4194304        0.427        0.427        0.425        0.425      133.758      132.022       95.535      133.675
     3565159      5347737      8388608        0.654        0.654        0.212        0.212      171.218      111.776       76.632      136.594
     5347737      5347737      8388608        0.529        0.529        0.319        0.319      151.806      126.644       90.459      140.412
     5347738      7130317      8388608        0.529        0.529        0.319        0.319      163.306      126.322       90.008      140.100
     7130317      7130317      8388608        0.427        0.427        0.425        0.425      156.641      142.052      104.290      145.135
     7130318     10695476     16777216        0.654        0.654        0.213        0.213      190.567      117.927       80.289      143.365
    10695476     10695476     16777216        0.529        0.529        0.319        0.319      170.691      136.795       96.263      148.002
    10695477     14260634     16777216        0.529        0.529        0.319        0.319      183.454      138.128       96.476      150.374
    14260634     14260634     16777216        0.427        0.427        0.425        0.425      172.607      144.870      107.452      151.057
    14260635     21390952     33554432        0.654        0.654        0.213        0.213      207.925      121.775       82.745      149.472
    16777215     21390952     33554432        0.607        0.607        0.250        0.250      195.622      130.864       89.692      153.334
