       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       62.832       12.954       18.960       24.846
           7            7            8        0.346        0.393        0.278        0.375       32.151       20.126       24.951       25.217
           8           10           16        0.559        0.597        0.119        0.219       43.722       17.897       23.357       23.482
          10           10           16        0.481        0.524        0.177        0.281       45.506       18.664       24.503       24.216
          11           13           16        0.447        0.492        0.208        0.313       49.215       18.416       23.907       24.153
          13           13           16        0.385        0.432        0.268        0.375       47.332       19.587       24.429       24.776
          14           19           32        0.604        0.641        0.095        0.203       61.723       16.151       21.378       22.562
          19           19           32        0.500        0.547        0.162        0.281       48.954       16.711       22.618       22.880
          20           28           32        0.482        0.530        0.178        0.297       62.906       17.891       23.800       23.857
          28           28           32        0.359        0.411        0.300        0.422       48.842       18.856       23.485       23.893
          29           42           64        0.594        0.633        0.105        0.219       56.962       15.344       20.811       22.097
          42           42           64        0.466        0.516        0.197        0.320       53.450       16.307       22.054       22.232
          43           54           64        0.458        0.508        0.205        0.328       52.225       16.222       21.823       22.067
          54           54           64        0.373        0.427        0.286        0.414       48.991       18.569       23.380       23.793
          55           81          128        0.612        0.650        0.097        0.211       64.582       15.355       20.529       22.089
          81           81          128        0.481        0.530        0.189        0.313       44.309       14.621       20.493       20.835
          82          108          128        0.477        0.526        0.193        0.316       48.678       14.713       20.511       21.036
         108          108          128        0.376        0.429        0.293        0.418       46.580       18.395       23.206       23.734
         109          162          256        0.616        0.653        0.098        0.211       60.820       15.250       20.048       23.524
         162          162          256        0.484        0.530        0.196        0.314       41.983       14.644       20.401       21.186
         163          217          256        0.482        0.528        0.198        0.316       47.072       14.795       20.428       21.376
         217          217          256        0.376        0.428        0.297        0.422       40.621       15.077       19.989       20.866
         218          325          512        0.618        0.653        0.104        0.212       47.384       11.930       16.391       18.959
         325          325          512        0.482        0.530        0.194        0.316       43.799       12.345       18.128       18.642
         326          435          512        0.480        0.529        0.195        0.317       42.076       12.280       18.051       18.513
         435          435          512        0.375        0.427        0.298        0.424       37.105       13.416       18.288       18.976
         436          652         1024        0.636        0.653        0.154        0.212       44.050       11.090       14.917       17.756
         652          652         1024        0.509        0.529        0.263        0.318       36.005       12.209       16.762       18.100
         653          870         1024        0.509        0.528        0.264        0.318       40.678       12.194       16.811       18.062
         870          870         1024        0.404        0.427        0.363        0.424       36.130       13.502       18.127       18.730
         871         1305         2048        0.631        0.654        0.141        0.212       44.323       10.042       13.976       16.952
        1305         1305         2048        0.499        0.529        0.239        0.318       35.844       11.319       16.616       17.542
        1306         1740         2048        0.508        0.528        0.260        0.319       42.906       11.690       16.720       17.642
        1740         1740         2048        0.397        0.427        0.348        0.425       37.427       12.946       17.643       18.197
        1741         2610         4096        0.655        0.654        0.209        0.212       45.573       10.982       12.117       17.515
        2610         2610         4096        0.528        0.529        0.313        0.318       37.165       12.772       15.911       18.572
        2611         3481         4096        0.535        0.529        0.330        0.319       43.246       13.112       15.838       18.726
        3481         3481         4096        0.418        0.427        0.400        0.425       37.989       14.670       18.818       21.418
        3482         5221         8192        0.644        0.654        0.176        0.212       47.455       10.906       14.836       20.385
        5221         5221         8192        0.507        0.529        0.259        0.319       37.498       12.425       17.295       19.147
        5222         6963         8192        0.507        0.529        0.258        0.319       42.912       12.392       17.371       19.148
        6963         6963         8192        0.413        0.427        0.385        0.425       38.824       14.852       18.661       20.372
        6964        10444        16384        0.636        0.654        0.155        0.212       46.861       10.636       13.853       18.819
       10444        10444        16384        0.503        0.529        0.251        0.319       37.749       12.538       18.124       19.835
       10445        13926        16384        0.503        0.529        0.251        0.319       43.085       12.514       18.077       19.750
       13926        13926        16384        0.405        0.427        0.367        0.425       38.265       14.850       19.476       20.907
       13927        20889        32768        0.642        0.654        0.173        0.212       46.560       11.128       15.033       19.357
       20889        20889        32768        0.507        0.529        0.258        0.319       46.444       13.006       18.533       20.445
       20890        27852        32768        0.507        0.529        0.258        0.319       43.267       12.870       18.417       20.333
       27852        27852        32768        0.404        0.427        0.365        0.425       38.360       15.197       19.854       21.452
       27853        41778        65536        0.644        0.654        0.180        0.212       47.564       12.330       14.851       19.948
       41778        41778        65536        0.512        0.529        0.273        0.319       38.437       13.647       18.968       21.292
       41779        55705        65536        0.512        0.529        0.274        0.319       44.583       15.202       18.925       21.236
       55705        55705        65536        0.410        0.427        0.379        0.425       41.349       17.307       20.911       23.270
       55706        83557       131072        0.651        0.654        0.203        0.212       51.164       14.882       15.853       24.105
       83557        83557       131072        0.525        0.529        0.307        0.319       41.555       19.695       20.317       26.351
       83558       111411       131072        0.525        0.529        0.307        0.319       47.736       20.411       20.457       26.398
