       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       63.762       12.798       19.255       26.349
           7            7            8        0.393        0.393        0.375        0.375       33.915       24.086       29.210       29.008
           8           10           16        0.597        0.597        0.219        0.219       47.243       21.477       25.639       27.678
          10           10           16        0.524        0.524        0.281        0.281       44.900       22.281       27.346       28.119
          11           13           16        0.492        0.492        0.313        0.313       61.523       22.223       27.460       27.901
          13           13           16        0.432        0.432        0.375        0.375       49.937       23.498       28.508       28.470
          14           19           32        0.641        0.641        0.204        0.203       58.993       19.493       23.273       26.536
          19           19           32        0.547        0.547        0.281        0.281       51.898       20.652       25.585       26.816
          20           28           32        0.530        0.530        0.297        0.297       71.989       21.914       26.829       27.781
          28           28           32        0.411        0.411        0.422        0.422       51.986       23.242       27.989       27.793
          29           42           64        0.633        0.633        0.219        0.219       61.354       18.971       22.704       26.001
          42           42           64        0.516        0.516        0.320        0.320       51.568       20.248       25.487       26.208
          43           54           64        0.508        0.508        0.328        0.328       56.313       20.304       25.556       26.086
          54           54           64        0.427        0.427        0.414        0.414       63.552       22.962       27.898       27.723
          55           81          128        0.650        0.650        0.211        0.211       61.068       18.954       22.383       26.015
          81           81          128        0.530        0.530        0.313        0.313       49.177       18.701       23.773       24.891
          82          108          128        0.526        0.526        0.317        0.316       53.461       18.699       23.768       25.013
         108          108          128        0.429        0.429        0.418        0.418       51.036       22.740       27.673       27.608
         109          162          256        0.653        0.653        0.211        0.211       59.342       18.698       22.189       25.937
         162          162          256        0.530        0.530        0.314        0.314       49.462       18.525       23.583       24.734
         163          217          256        0.528        0.528        0.316        0.316       65.670       18.581       23.663       24.757
         217          217          256        0.428        0.428        0.422        0.422       45.359       19.476       24.488       24.590
         218          325          512        0.653        0.653        0.211        0.212       53.172       15.318       18.929       22.935
         325          325          512        0.530        0.530        0.316        0.316       43.182       16.240       21.424       22.666
         326          435          512        0.529        0.529        0.317        0.317       47.356       16.225       21.427       22.616
         435          435          512        0.427        0.427        0.424        0.424       41.997       17.747       22.919       22.943
         436          652         1024        0.653        0.653        0.212        0.212       50.127       13.728       17.259       21.279
         652          652         1024        0.529        0.529        0.318        0.318       40.811       15.137       20.388       21.690
         653          870         1024        0.529        0.528        0.319        0.318       45.959       15.200       20.353       21.652
         870          870         1024        0.427        0.427        0.424        0.424       40.510       17.102       22.122       22.372
         871         1305         2048        0.653        0.654        0.212        0.212       50.177       12.926       16.460       20.677
        1305         1305         2048        0.529        0.529        0.318        0.318       40.920       14.664       19.902       21.310
        1306         1740         2048        0.528        0.528        0.318        0.319       47.345       14.683       19.929       21.300
        1740         1740         2048        0.428        0.427        0.425        0.425       41.872       16.683       21.713       22.203
        1741         2610         4096        0.654        0.654        0.212        0.212       51.941       12.794       16.223       20.757
