       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       62.530       13.076       18.636       23.871
           7            7            8        0.219        0.393        0.107        0.375       28.753       16.334       20.469       23.443
           8           10           16        0.555        0.597        0.109        0.219       40.246       17.858       21.881       23.585
          10           10           16        0.445        0.524        0.113        0.281       36.754       17.721       23.039       23.937
          11           13           16        0.391        0.492        0.114        0.313       51.640       16.988       22.490       23.392
          13           13           16        0.281        0.432        0.116        0.375       41.415       17.212       21.847       24.461
          14           19           32        0.563        0.641        0.000        0.203       49.097       14.376       21.257       21.605
          19           19           32        0.406        0.547        0.000        0.281       41.290       14.240       20.479       21.480
          20           28           32        0.387        0.530        0.019        0.297       59.701       15.442       21.367       22.880
          28           28           32        0.231        0.411        0.121        0.422       40.312       15.915       19.770       22.638
          29           42           64        0.547        0.633        0.000        0.219       47.764       13.431       19.829       21.274
          42           42           64        0.344        0.516        0.000        0.320       38.414       12.896       18.647       20.635
          43           54           64        0.328        0.508        0.000        0.328       42.893       12.737       18.253       20.506
          54           54           64        0.156        0.427        0.000        0.414       50.250       13.733       16.831       21.633
          55           81          128        0.570        0.650        0.000        0.211       46.322       13.589       19.995       21.373
          81           81          128        0.412        0.530        0.070        0.313       35.789       12.674       18.849       20.127
          82          108          128        0.406        0.526        0.072        0.316       40.025       12.694       18.820       20.215
         108          108          128        0.247        0.429        0.107        0.418       37.838       15.380       19.421       22.336
         109          162          256        0.597        0.653        0.054        0.211       59.668       14.552       20.247       22.285
         162          162          256        0.413        0.530        0.072        0.314       34.517       12.568       18.772       20.229
         163          217          256        0.409        0.528        0.072        0.316       38.733       12.497       18.674       19.747
         217          217          256        0.278        0.428        0.148        0.422       32.531       12.762       17.198       19.562
         218          325          512        0.623        0.653        0.115        0.212       39.196       12.173       16.664       19.417
         325          325          512        0.468        0.530        0.162        0.316       30.536       11.745       17.657       18.449
         326          435          512        0.467        0.529        0.163        0.317       34.834       11.754       17.583       18.398
         435          435          512        0.316        0.427        0.195        0.424       29.031       11.727       16.627       18.072
         436          652         1024        0.634        0.653        0.141        0.212       36.374       10.902       15.035       17.739
         652          652         1024        0.465        0.529        0.160        0.318       28.163       10.648       16.548       17.446
         653          870         1024        0.464        0.528        0.160        0.318       44.110       10.667       16.573       17.421
         870          870         1024        0.332        0.427        0.221        0.424       36.778       11.649       16.610       17.998
         871         1305         2048        0.655        0.654        0.192        0.212       36.554       10.884       13.996       17.481
        1305         1305         2048        0.505        0.529        0.234        0.318       28.096       11.273       16.365       17.555
        1306         1740         2048        0.505        0.528        0.234        0.319       34.253       11.242       16.391       17.681
        1740         1740         2048        0.362        0.427        0.264        0.425       29.967       11.646       16.775       18.464
        1741         2610         4096        0.678        0.654        0.255        0.212       37.748       11.583       13.244       17.595
        2610         2610         4096        0.528        0.529        0.277        0.318       28.683       11.987       15.783       17.856
        2611         3481         4096        0.528        0.529        0.276        0.319       34.379       11.959       15.771       17.942
        3481         3481         4096        0.379        0.427        0.287        0.425       29.069       12.354       17.361       19.546
        3482         5221         8192        0.679        0.654        0.260        0.212       39.760       11.915       13.397       19.565
        5221         5221         8192        0.535        0.529        0.292        0.319       28.000       12.695       16.173       18.792
        5222         6963         8192        0.534        0.529        0.291        0.319       33.764       12.748       16.289       18.822
        6963         6963         8192        0.419        0.427        0.382        0.425       29.412       14.493       18.504       19.880
        6964        10444        16384        0.697        0.654        0.327        0.212       37.559       13.615       13.619       19.490
       10444        10444        16384        0.561        0.529        0.374        0.319       29.050       14.713       17.008       20.367
