       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       48.296       12.652       12.863       17.183
           8            8            8        1.000        0.344       -1.000        0.438       20.653       24.145       12.738       28.420
           9           16           16        1.000        0.559       -1.000        0.250       25.567       24.471       13.659       28.487
          16           16           16        1.000        0.356       -1.000        0.469       21.932       26.233       14.087       30.711
          17           32           32        1.000        0.583       -1.000        0.250       27.528       27.165       15.796       31.758
          32           32           32        1.000        0.362       -1.000        0.484       23.017       29.419       18.367       35.515
          33           48           64        0.486        0.595        0.003        0.250       41.592       12.613       18.121       20.218
          48           48           64        0.253        0.470        0.004        0.367       27.734       11.995       16.487       19.761
          49           72          128        0.617        0.681        0.000        0.188       35.584       11.854       16.142       19.744
          72           72          128        0.438        0.569        0.000        0.277       30.371       11.801       17.596       19.698
          73          108          128        0.430        0.564        0.000        0.281       35.070       11.678       17.515       19.502
         108          108          128        0.162        0.429        0.007        0.418       32.623       13.552       16.553       21.180
         109          162          256        0.577        0.653        0.007        0.211       50.448       13.448       17.670       21.068
         162          162          256        0.376        0.530        0.014        0.314       30.119       11.389       16.919       18.976
         163          217          256        0.373        0.528        0.014        0.316       34.662       11.368       16.823       18.870
         217          217          256        0.168        0.428        0.019        0.422       28.895       10.297       13.690       18.486
         218          325          512        0.574        0.653        0.000        0.212       35.746        9.994       14.538       17.857
         325          325          512        0.365        0.530        0.000        0.316       27.775        8.955       14.714       16.862
         326          435          512        0.363        0.529        0.000        0.317       31.837        8.930       14.656       16.771
         435          435          512        0.172        0.427        0.026        0.424       26.849        8.825       12.107       16.426
         436          652         1024        0.586        0.653        0.027        0.212       33.844        8.856       12.776       16.301
         652          652         1024        0.402        0.529        0.061        0.318       26.507        8.876       13.615       16.165
         653          870         1024        0.401        0.528        0.060        0.318       31.323        8.852       13.524       16.212
         870          870         1024        0.213        0.427        0.074        0.424       26.005        8.860       12.275       16.439
         871         1305         2048        0.575        0.654        0.000        0.212       35.011        7.540       12.615       15.575
        1305         1305         2048        0.363        0.529        0.000        0.318       26.749        7.287       13.034       15.241
        1306         1740         2048        0.362        0.528        0.000        0.319       33.333        7.275       12.978       15.247
        1740         1740         2048        0.242        0.427        0.108        0.425       28.231        8.938       12.895       16.429
        1741         2610         4096        0.620        0.654        0.106        0.212       36.554        8.968       11.585       16.684
        2610         2610         4096        0.511        0.529        0.233        0.318       27.825       11.366       13.100       17.661
        2611         3481         4096        0.517        0.529        0.242        0.319       33.415       11.558       13.131       17.828
        3481         3481         4096        0.409        0.427        0.304        0.425       28.162       12.828       14.870       19.922
        3482         5221         8192        0.575        0.654        0.000        0.212       38.149        7.053       12.552       16.450
        5221         5221         8192        0.363        0.529        0.000        0.319       27.149        6.941       13.291       16.385
        5222         6963         8192        0.363        0.529        0.000        0.319       32.852        6.960       13.283       16.396
        6963         6963         8192        0.150        0.427        0.000        0.425       28.106        6.946       10.191       16.368
        6964        10444        16384        0.575        0.654        0.000        0.212       36.413        7.013       12.674       16.888
       10444        10444        16384        0.363        0.529        0.000        0.319       27.964        6.978       13.382       16.936
       10445        13926        16384        0.363        0.529        0.000        0.319       33.337        7.004       13.604       16.946
       13926        13926        16384        0.150        0.427        0.000        0.425       27.734        6.942       10.410       16.905
       13927        20889        32768        0.575        0.654        0.000        0.212       55.640        7.064       12.854       17.301
       20889        20889        32768        0.363        0.529        0.000        0.319       30.724        7.091       13.728       17.543
       20890        27852        32768        0.362        0.529        0.000        0.319       34.244        7.007       13.885       17.457
