nkeys capacity nbuckets vacancy rndvacancy regret rndregret put get miss del
1 8 8 1.0 0.875 -1.0 0.0 0.477258 0.125232 0.118724 0.188066
8 8 8 1.0 0.34360891580581665 -1.0 0.4375 0.20133968 0.24482961 0.1298098 0.28158355
9 16 16 1.0 0.5594245067186421 -1.0 0.25 0.25282815 0.24779223 0.13324198 0.2831277
16 16 16 1.0 0.3560741304517928 -1.0 0.46875 0.2173333 0.26373515 0.15133151 0.305999
17 32 32 1.0 0.5829068564498201 -1.0 0.25 0.27203783 0.27377382 0.16138671 0.31650147
32 32 32 1.0 0.3620552892563166 -1.0 0.484375 0.22183916 0.29130226 0.18696761 0.34090963
33 48 64 0.484375 0.5947014405560413 0.0 0.25 0.31622022 0.12681329 0.13585524 0.21233481
48 48 64 0.25 0.4695778710898645 0.0 0.3671875 0.27448377 0.121440776 0.12998083 0.20675932
49 72 128 0.6171875 0.6809164309300626 0.0 0.1875 0.35068792 0.119582616 0.1291025 0.2060796
72 72 128 0.4765625 0.5685256902982322 0.06944445 0.27734375 0.30147794 0.13199085 0.13265285 0.21564938
73 108 128 0.4765625 0.5640840833427772 0.08219178 0.28125 0.34841767 0.13318035 0.13263035 0.2175113
108 108 128 0.3359375 0.42867202377400226 0.21296297 0.41796875 0.31958804 0.17103109 0.15060696 0.24468957
109 162 256 0.62109375 0.6527147820843155 0.110091746 0.2109375 0.39160877 0.15313987 0.15148985 0.23684488
162 162 256 0.46484375 0.5304382697863936 0.15432099 0.31445313 0.30573997 0.13909289 0.13031684 0.21813339
163 217 256 0.46484375 0.5283662452950405 0.1595092 0.31640625 0.35247174 0.13933584 0.13120562 0.21852203
217 217 256 0.328125 0.42770731846412596 0.20737328 0.421875 0.29635212 0.1357488 0.12969267 0.21114035
218 325 512 0.625 0.6529873028653209 0.119266056 0.21191406 0.36624044 0.121536136 0.13337454 0.20227888
325 325 512 0.49414063 0.5297308023125619 0.20307693 0.31640625 0.28733948 0.12444298 0.1450358 0.1973079
326 435 512 0.4921875 0.5286961718392952 0.20245399 0.3173828 0.32862306 0.12470944 0.14581403 0.19689344
435 435 512 0.37304688 0.4272268451352311 0.29655173 0.42382813 0.27880815 0.13247691 0.11736658 0.19494829
436 652 1024 0.6220703 0.6531233393511757 0.1146789 0.21240234 0.34903708 0.104968145 0.1250077 0.18715052
652 652 1024 0.49804688 0.5288608895699789 0.2315951 0.3178711 0.28388235 0.11703486 0.14141913 0.18879952
653 870 1024 0.4970703 0.5283444238575081 0.23124042 0.31835938 0.33028576 0.1171248 0.14227599 0.18968998
870 870 1024 0.3955078 0.42740446314264724 0.33678162 0.4243164 0.28774634 0.13210891 0.14731324 0.1954523
871 1305 2048 0.625 0.6535103986172291 0.11940298 0.21240234 0.36650172 0.09688691 0.12774976 0.17953052
1305 1305 2048 0.48242188 0.5286849141353972 0.20153257 0.31835938 0.30102682 0.10725569 0.14687201 0.1815718
1306 1740 2048 0.48242188 0.5284267672046671 0.20214395 0.31860352 0.36278185 0.10709554 0.14627849 0.18391325
1740 1740 2048 0.37109375 0.4274932130193645 0.2954023 0.42456055 0.3197567 0.1208957 0.16155967 0.18899505
1741 2610 4096 0.62719727 0.653703939174513 0.12981045 0.21240234 0.4062051 0.09544633 0.12251493 0.17944902
2610 2610 4096 0.4975586 0.5287260590845073 0.24291188 0.31848145 0.32709303 0.11416224 0.14931124 0.18974221
2611 3481 4096 0.4975586 0.5285969755739885 0.24320184 0.31860352 0.3863107 0.11455033 0.15020849 0.19081517
3481 3481 4096 0.40063477 0.42743319389937967 0.36656132 0.4248047 0.34405836 0.13778539 0.17723152 0.202472
3482 5221 8192 0.638916 0.6537209025259371 0.1645606 0.21246338 0.4270344 0.10361101 0.1367971 0.19213997
5221 5221 8192 0.5151367 0.5286820834700223 0.28366214 0.31860352 0.34451136 0.1260323 0.16866216 0.2039729
5222 6963 8192 0.5151367 0.52861754708288 0.28379932 0.31866455 0.40224883 0.12592012 0.16950631 0.20314944
6963 6963 8192 0.41540527 0.42740319164049273 0.40241274 0.42492676 0.35732046 0.14945891 0.19057158 0.2146903
6964 10444 16384 0.631897 0.6537293833312537 0.14215969 0.2124939 0.44340208 0.10825549 0.1265384 0.19565456
10444 10444 16384 0.49908447 0.5286278318818134 0.24348909 0.31869507 0.351444 0.13238968 0.14980073 0.20673318
10445 13926 16384 0.49902344 0.5285955669994964 0.24346577 0.3187256 0.4037106 0.13499883 0.15032317 0.20724617
13926 13926 16384 0.3815918 0.4274142796331008 0.32478815 0.42495728 0.3427508 0.15420346 0.16378655 0.21626848
13927 20889 32768 0.6421509 0.6537535744921277 0.17785597 0.2124939 0.42381555 0.13375154 0.14099383 0.20324442
20889 20889 32768 0.5020447 0.5286168414443477 0.24893485 0.3187256 0.3419329 0.15232737 0.15988275 0.2115886
20890 27852 32768 0.50201416 0.5286007093385908 0.24892293 0.31874084 0.39660025 0.152949 0.15989913 0.21242172
27852 27852 32768 0.38119507 0.4274198233988737 0.31232944 0.42497253 0.34310445 0.16545756 0.17214695 0.21886636
27853 41778 65536 0.6389618 0.6537656701152222 0.16210103 0.2124939 0.42843243 0.14345665 0.13320331 0.20671976
41778 41778 65536 0.51156616 0.5286194125095706 0.27203313 0.31873322 0.34591 0.15811466 0.1663032 0.22323477
41779 55705 65536 0.51156616 0.5286113464174608 0.2720745 0.31874084 0.4049982 0.15997542 0.16601561 0.21907191
55705 55705 65536 0.40379333 0.4274160732729096 0.37091824 0.4249878 0.35229728 0.17980352 0.17356278 0.23481442
55706 83557 131072 0.6437149 0.6537667300550641 0.17387713 0.21249771 0.44523072 0.15710288 0.13827409 0.23970346
83557 83557 131072 0.50084686 0.5286166649713928 0.24044664 0.31874084 0.3541437 0.17441052 0.15580554 0.26136628
83558 111411 131072 0.50083923 0.5286126319462999 0.24044377 0.31874466 0.41528445 0.18200085 0.15591727 0.2609514
111411 111411 131072 0.4024353 0.4274141982384378 0.3570653 0.42499542 0.37333715 0.21296452 0.18480915 0.28119877
111412 167116 262144 0.644001 0.6537672600215862 0.17450544 0.21249962 0.46875152 0.1887262 0.1543085 0.2938438
167116 167116 262144 0.5056801 0.5286132747069879 0.24997008 0.31874657 0.37364507 0.21283172 0.17926429 0.301882
167117 222822 262144 0.5056801 0.5286112582073743 0.24997456 0.31874847 0.44045746 0.22932313 0.18074474 0.3035928
222822 222822 262144 0.39876938 0.42741489118674597 0.34695408 0.42499733 0.39781857 0.25451013 0.20382556 0.31852576
222823 334233 524288 0.64346313 0.6537687719689709 0.17693865 0.21249962 0.56037754 0.2338648 0.15943556 0.32493177
334233 334233 524288 0.5122795 0.5286125878359792 0.275287 0.31874847 0.40913504 0.27986464 0.19708878 0.37571308
334234 445644 524288 0.5122776 0.5286115795874825 0.27528617 0.31874943 0.4813031 0.26441696 0.19587219 0.34126005
445644 445644 524288 0.40700912 0.42741523765999967 0.37688828 0.42499828 0.43982926 0.31698355 0.22941671 0.38666207
445645 668466 1048576 0.6523037 0.6537695279428298 0.20669366 0.21249962 0.5995886 0.33436927 0.19893332 0.47004393
668466 668466 1048576 0.52989006 0.5286127485256258 0.3261482 0.31874895 0.47416878 0.4956743 0.255333 0.6233269
668467 891289 1048576 0.5298891 0.5286122444012242 0.32614774 0.31874943 0.52261156 0.49596208 0.25387514 0.6178679
891289 891289 1048576 0.42835808 0.4274150032813016 0.43346995 0.42499924 0.5440301 0.64695287 0.29898494 0.73564464
891290 1336933 2097152 0.65279865 0.653769594188017 0.21026377 0.21249986 0.6224461 0.5887534 0.23473841 0.8844596
1336933 1336933 2097152 0.52695036 0.5286125768081518 0.31681767 0.31874943 0.52295566 0.74945414 0.2849507 0.97244465
1336934 1782579 2097152 0.52695036 0.5286123247460328 0.31681818 0.31874967 0.59435 0.73666066 0.28203088 0.9618251
1782579 1782579 2097152 0.42281914 0.42741488609206396 0.4147154 0.4249997 0.52077633 0.84678715 0.32226062 1.0121768
1782580 2673868 4194304 0.6406715 0.6537696273105972 0.1700294 0.21249998 0.7200687 0.7132976 0.23253374 1.1159639
2673868 2673868 4194304 0.5077088 0.5286123649184226 0.26293594 0.3187498 0.5304937 0.8337921 0.2737233 1.1427153
2673869 3565158 4194304 0.50770855 0.5286122388874136 0.26293585 0.3187499 0.65635973 0.83205646 0.27604944 1.1824663
3565158 3565158 4194304 0.39807367 0.4274149294011331 0.35142565 0.42499983 0.5920411 0.9230671 0.3161683 1.2101624
3565159 5347737 8388608 0.646019 0.6537697218073081 0.18590419 0.21249998 0.7572762 0.80300206 0.24421912 1.2607881
5347737 5347737 8388608 0.517414 0.5286123219891069 0.28670332 0.3187499 0.5903918 0.9311808 0.28944394 1.3145841
5347738 7130317 8388608 0.51741385 0.5286122589736075 0.2867033 0.31874996 0.68247736 0.92262 0.28631732 1.3004115
7130317 7130317 8388608 0.41981888 0.42741490010383154 0.40442815 0.42499995 0.6090066 1.0473167 0.3283711 1.3360878
7130318 10695476 16777216 0.64652014 0.6537697300879493 0.1885369 0.2125 0.8227599 0.84194565 0.25165638 1.3455977
10695476 10695476 16777216 0.51194805 0.5286122690167036 0.27415553 0.31875 0.6797584 0.96298563 0.29275742 1.3746355
10695477 14260634 16777216 0.511948 0.528612237508957 0.27415553 0.31875002 0.73166066 0.9465674 0.29040125 1.3659765
14260634 14260634 16777216 0.40708935 0.4274149109310964 0.373172 0.42499998 0.65379703 1.045694 0.33510503 1.3937129
14260635 21390952 33554432 0.6491903 0.6537697537121266 0.19538695 0.2125 0.85110235 0.8851618 0.2564009 1.4122814
16777215 21390952 33554432 0.59966326 0.6065306732696505 0.22748663 0.24999997 0.7126141 0.9233833 0.2719957 1.4224733
