       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       48.966       12.669       13.118       17.787
           8            8            8        1.000        0.344       -1.000        0.438       20.891       24.077       12.970       28.196
           9           16           16        1.000        0.559       -1.000        0.250       25.657       24.297       13.327       28.336
          16           16           16        1.000        0.356       -1.000        0.469       21.619       25.891       14.343       30.536
          17           32           32        1.000        0.583       -1.000        0.250       27.343       26.723       16.271       31.613
          32           32           32        1.000        0.362       -1.000        0.484       22.663       29.056       19.085       34.974
          33           48           64        0.492        0.595        0.015        0.250       40.679       13.170       18.190       20.609
          48           48           64        0.276        0.470        0.034        0.367       27.182       12.888       17.293       20.264
          49           72          128        0.624        0.681        0.018        0.188       34.923       12.496       18.259       20.289
          72           72          128        0.486        0.569        0.087        0.277       30.035       13.677       19.727       20.899
          73          108          128        0.482        0.564        0.091        0.281       34.751       13.651       19.661       20.626
         108          108          128        0.337        0.429        0.217        0.418       32.895       17.336       22.340       23.072
         109          162          256        0.619        0.653        0.106        0.211       50.614       15.589       20.441       22.336
         162          162          256        0.467        0.530        0.160        0.314       31.141       14.070       19.999       20.465
         163          217          256        0.465        0.528        0.162        0.316       35.740       14.160       19.887       20.214
         217          217          256        0.339        0.428        0.230        0.422       30.639       14.006       19.113       20.085
         218          325          512        0.626        0.653        0.126        0.212       37.291       12.427       17.087       19.331
         325          325          512        0.491        0.530        0.211        0.316       30.158       12.556       18.071       18.740
         326          435          512        0.490        0.529        0.211        0.317       34.248       12.564       18.063       18.787
         435          435          512        0.375        0.427        0.300        0.424       29.805       13.451       18.392       18.963
         436          652         1024        0.631        0.653        0.137        0.212       36.599       10.834       15.225       17.649
         652          652         1024        0.504        0.529        0.246        0.318       30.204       11.896       17.113       18.003
         653          870         1024        0.504        0.528        0.247        0.318       34.847       11.924       17.014       17.926
         870          870         1024        0.400        0.427        0.348        0.424       30.316       13.733       18.534       18.864
         871         1305         2048        0.628        0.654        0.129        0.212       38.932        9.828       14.283       16.835
        1305         1305         2048        0.489        0.529        0.214        0.318       31.384       10.864       16.490       17.233
        1306         1740         2048        0.488        0.528        0.214        0.319       37.879       10.925       16.455       17.228
        1740         1740         2048        0.370        0.427        0.291        0.425       33.047       12.022       16.933       18.453
        1741         2610         4096        0.624        0.654        0.122        0.212       41.368        9.399       14.075       16.917
        2610         2610         4096        0.498        0.529        0.245        0.318       32.995       11.464       16.346       17.927
