       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       47.674       12.581       13.044       16.772
           8            8            8        1.000        0.344       -1.000        0.438       20.269       24.073       12.729       28.339
           9           16           16        1.000        0.559       -1.000        0.250       25.365       24.456       13.620       28.446
          16           16           16        1.000        0.356       -1.000        0.469       21.673       26.189       14.051       30.721
          17           32           32        1.000        0.583       -1.000        0.250       27.231       27.105       15.746       31.735
          32           32           32        1.000        0.362       -1.000        0.484       22.635       29.399       18.392       35.543
          33           48           64        0.549        0.595        0.126        0.250       42.003       14.763       20.736       21.367
          48           48           64        0.418        0.470        0.242        0.367       30.399       16.046       21.306       21.651
          49           72          128        0.644        0.681        0.071        0.188       38.534       13.093       18.578       20.479
          72           72          128        0.518        0.569        0.144        0.277       33.974       14.341       20.422       21.059
          73          108          128        0.513        0.564        0.147        0.281       38.702       14.225       20.310       20.771
         108          108          128        0.372        0.429        0.283        0.418       36.905       18.030       23.021       23.184
         109          162          256        0.614        0.653        0.093        0.211       44.546       14.900       20.532       21.797
         162          162          256        0.479        0.530        0.184        0.314       39.016       14.194       20.229       20.402
         163          217          256        0.476        0.528        0.186        0.316       51.460       14.248       20.029       20.262
         217          217          256        0.370        0.428        0.284        0.422       35.709       14.638       19.582       20.269
         218          325          512        0.614        0.653        0.094        0.212       42.448       11.671       17.400       18.747
         325          325          512        0.478        0.530        0.185        0.316       34.178       11.947       17.840       18.248
         326          435          512        0.477        0.529        0.186        0.317       38.279       11.992       17.896       18.288
         435          435          512        0.369        0.427        0.285        0.424       33.820       13.058       18.087       18.560
         436          652         1024        0.614        0.653        0.094        0.212       40.960        9.994       15.464       17.100
         652          652         1024        0.477        0.529        0.187        0.318       33.223       10.932       16.924       17.237
         653          870         1024        0.476        0.528        0.187        0.318       37.964       10.964       16.892       17.175
         870          870         1024        0.369        0.427        0.284        0.424       33.289       12.554       17.554       18.087
         871         1305         2048        0.615        0.654        0.094        0.212       42.410        9.175       14.929       16.286
        1305         1305         2048        0.476        0.529        0.187        0.318       33.681       10.442       16.315       16.745
        1306         1740         2048        0.476        0.528        0.187        0.319       40.107       10.390       16.285       16.755
        1740         1740         2048        0.369        0.427        0.284        0.425       35.909       11.881       16.754       18.213
        1741         2610         4096        0.615        0.654        0.094        0.212       44.008        8.850       14.513       16.352
        2610         2610         4096        0.477        0.529        0.187        0.318       34.397       10.429       16.311       17.183
        2611         3481         4096        0.477        0.529        0.187        0.319       39.697       10.426       16.289       17.203
