       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       49.366       12.673       13.184       17.867
           8            8            8        1.000        0.344       -1.000        0.438       20.716       24.112       13.029       28.299
           9           16           16        1.000        0.559       -1.000        0.250       25.699       24.362       13.463       28.434
          16           16           16        1.000        0.356       -1.000        0.469       21.704       25.937       14.496       30.646
          17           32           32        1.000        0.583       -1.000        0.250       27.584       26.848       16.307       31.646
          32           32           32        1.000        0.362       -1.000        0.484       23.081       29.108       22.804       35.085
          33           48           64        0.556        0.595        0.142        0.250       40.607       15.361       21.039       21.866
          48           48           64        0.424        0.470        0.255        0.367       30.022       16.511       21.870       22.127
          49           72          128        0.653        0.681        0.093        0.188       37.841       13.825       18.384       21.061
          72           72          128        0.532        0.569        0.179        0.277       33.941       15.293       20.886       21.685
          73          108          128        0.527        0.564        0.182        0.281       38.776       15.104       20.814       21.450
         108          108          128        0.385        0.429        0.312        0.418       37.946       18.758       23.646       23.816
         109          162          256        0.621        0.653        0.112        0.211       55.685       15.641       20.601       22.353
         162          162          256        0.491        0.530        0.211        0.314       36.415       14.902       20.681       20.790
         163          217          256        0.488        0.528        0.213        0.316       40.911       14.843       20.601       20.711
         217          217          256        0.380        0.428        0.306        0.422       35.921       15.216       20.235       20.617
         218          325          512        0.627        0.653        0.130        0.212       42.623       12.400       17.016       19.346
         325          325          512        0.488        0.530        0.207        0.316       34.491       12.498       18.335       18.718
         326          435          512        0.487        0.529        0.208        0.317       38.578       12.556       18.454       18.735
         435          435          512        0.382        0.427        0.314        0.424       34.321       13.600       18.657       18.989
         436          652         1024        0.626        0.653        0.126        0.212       41.358       10.602       15.249       17.513
         652          652         1024        0.495        0.529        0.230        0.318       33.905       11.691       17.303       17.855
         653          870         1024        0.495        0.528        0.230        0.318       38.748       11.718       17.245       17.907
         870          870         1024        0.386        0.427        0.324        0.424       34.085       13.149       18.051       18.705
         871         1305         2048        0.635        0.654        0.152        0.212       42.962       10.233       14.249       17.192
        1305         1305         2048        0.497        0.529        0.233        0.318       34.245       11.185       16.698       17.520
        1306         1740         2048        0.496        0.528        0.233        0.319       40.729       11.227       16.673       17.660
        1740         1740         2048        0.392        0.427        0.338        0.425       36.682       12.772       17.501       18.932
        1741         2610         4096        0.636        0.654        0.156        0.212       44.694        9.976       13.963       17.087
