       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       64.368       12.814       19.284       26.313
           7            7            8        0.393        0.393        0.375        0.375       34.311       24.136       29.183       29.045
           8           10           16        0.597        0.597        0.219        0.219       47.586       21.540       25.723       27.713
          10           10           16        0.525        0.524        0.282        0.281       45.208       22.322       27.415       28.214
          11           13           16        0.492        0.492        0.312        0.313       61.929       22.264       27.511       27.923
          13           13           16        0.432        0.432        0.374        0.375       50.150       23.537       28.546       28.462
          14           19           32        0.641        0.641        0.203        0.203       59.288       19.496       23.246       26.527
          19           19           32        0.547        0.547        0.281        0.281       52.148       20.633       25.585       26.813
          20           28           32        0.530        0.530        0.297        0.297       71.421       21.905       26.840       27.795
          28           28           32        0.411        0.411        0.422        0.422       51.810       23.131       28.048       27.789
          29           42           64        0.633        0.633        0.219        0.219       61.436       18.973       22.720       25.984
          42           42           64        0.516        0.516        0.320        0.320       51.560       20.241       25.459       26.191
          43           54           64        0.508        0.508        0.328        0.328       56.406       20.280       25.576       26.074
          54           54           64        0.427        0.427        0.414        0.414       63.246       22.992       27.890       27.752
          55           81          128        0.650        0.650        0.211        0.211       61.188       18.896       22.400       26.059
          81           81          128        0.530        0.530        0.313        0.313       49.156       18.731       23.766       24.873
          82          108          128        0.525        0.526        0.316        0.316       53.493       18.710       23.774       24.993
         108          108          128        0.429        0.429        0.418        0.418       51.044       22.731       27.726       27.592
         109          162          256        0.653        0.653        0.211        0.211       59.424       18.698       22.225       25.916
         162          162          256        0.530        0.530        0.315        0.314       49.258       18.538       23.639       24.690
         163          217          256        0.528        0.528        0.316        0.316       65.507       18.581       23.676       24.778
         217          217          256        0.428        0.428        0.422        0.422       45.444       19.435       24.473       24.561
         218          325          512        0.653        0.653        0.212        0.212       53.256       15.362       18.949       22.945
         325          325          512        0.530        0.530        0.317        0.316       43.297       16.244       21.453       22.665
         326          435          512        0.529        0.529        0.317        0.317       47.391       16.252       21.412       22.606
         435          435          512        0.427        0.427        0.424        0.424       42.003       17.797       22.822       22.960
         436          652         1024        0.653        0.653        0.212        0.212       50.228       13.687       17.283       21.274
         652          652         1024        0.529        0.529        0.318        0.318       40.867       15.146       20.367       21.683
         653          870         1024        0.528        0.528        0.319        0.318       45.957       15.233       20.389       21.666
         870          870         1024        0.428        0.427        0.424        0.424       40.567       17.112       22.137       22.331
         871         1305         2048        0.654        0.654        0.213        0.212       50.261       12.929       16.474       20.684
        1305         1305         2048        0.529        0.529        0.318        0.318       41.160       14.680       19.904       21.319
        1306         1740         2048        0.528        0.528        0.319        0.319       47.901       14.695       19.920       21.325
        1740         1740         2048        0.428        0.427        0.425        0.425       41.953       16.713       21.727       22.198
        1741         2610         4096        0.654        0.654        0.212        0.212       51.837       12.775       16.239       20.769
        2610         2610         4096        0.529        0.529        0.318        0.318       42.212       15.043       19.928       21.858
        2611         3481         4096        0.529        0.529        0.319        0.319       47.524       15.077       19.929       21.870
        3481         3481         4096        0.427        0.427        0.425        0.425       43.864       17.565       22.056       23.297
