       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       61.662       13.035       18.562       23.777
           7            7            8        0.349        0.393        0.283        0.375       30.664       20.231       24.998       25.327
           8           10           16        0.559        0.597        0.120        0.219       43.085       17.960       23.414       23.521
          10           10           16        0.480        0.524        0.174        0.281       40.247       18.575       24.320       24.202
          11           13           16        0.445        0.492        0.203        0.313       57.077       18.403       24.015       24.188
          13           13           16        0.383        0.432        0.265        0.375       45.107       19.484       24.441       24.737
          14           19           32        0.607        0.641        0.101        0.203       54.226       16.209       21.341       22.625
          19           19           32        0.508        0.547        0.180        0.281       47.075       17.059       22.608       23.084
          20           28           32        0.490        0.530        0.196        0.297       65.824       18.147       23.833       23.915
          28           28           32        0.365        0.411        0.313        0.422       46.917       19.024       23.638       23.966
          29           42           64        0.598        0.633        0.114        0.219       55.390       15.534       20.688       22.090
          42           42           64        0.474        0.516        0.213        0.320       45.949       16.469       22.171       22.415
          43           54           64        0.465        0.508        0.220        0.328       50.647       16.419       21.996       22.248
          54           54           64        0.380        0.427        0.302        0.414       58.501       18.843       23.708       23.953
          55           81          128        0.620        0.650        0.120        0.211       54.827       15.693       20.363       22.206
          81           81          128        0.489        0.530        0.207        0.313       43.272       14.910       20.605       21.087
          82          108          128        0.484        0.526        0.210        0.316       47.592       14.975       20.601       21.127
         108          108          128        0.385        0.429        0.313        0.418       45.352       18.598       23.559       23.746
         109          162          256        0.621        0.653        0.112        0.211       52.544       15.388       20.360       22.554
         162          162          256        0.491        0.530        0.211        0.314       42.376       14.843       20.572       21.083
         163          217          256        0.488        0.528        0.213        0.316       60.627       14.864       20.504       20.682
         217          217          256        0.380        0.428        0.306        0.422       39.823       15.145       20.244       20.718
         218          325          512        0.627        0.653        0.130        0.212       46.482       12.312       16.842       19.251
         325          325          512        0.488        0.530        0.207        0.316       37.007       12.464       18.211       18.690
         326          435          512        0.486        0.529        0.208        0.317       40.859       12.508       18.236       18.770
         435          435          512        0.382        0.427        0.314        0.424       36.014       13.544       18.571       19.018
         436          652         1024        0.626        0.653        0.126        0.212       42.952       10.598       15.123       17.525
         652          652         1024        0.495        0.529        0.229        0.318       34.699       11.701       17.285       17.856
         653          870         1024        0.495        0.528        0.230        0.318       41.492       12.037       17.572       18.468
         870          870         1024        0.386        0.427        0.325        0.424       34.514       13.225       18.093       18.732
         871         1305         2048        0.635        0.654        0.152        0.212       43.540       10.275       14.272       17.033
        1305         1305         2048        0.497        0.529        0.233        0.318       34.960       11.229       16.745       17.576
        1306         1740         2048        0.496        0.528        0.233        0.319       40.988       11.253       16.785       17.441
        1740         1740         2048        0.393        0.427        0.338        0.425       36.933       12.787       17.577       18.874
        1741         2610         4096        0.636        0.654        0.155        0.212       44.994       10.002       14.021       17.085
        2610         2610         4096        0.502        0.529        0.246        0.318       35.689       11.617       16.834       17.948
        2611         3481         4096        0.501        0.529        0.246        0.319       41.316       11.618       16.905       17.966
        3481         3481         4096        0.401        0.427        0.358        0.425       36.668       13.652       17.997       20.444
        3482         5221         8192        0.642        0.654        0.172        0.212       46.817       10.584       14.208       19.447
        5221         5221         8192        0.513        0.529        0.273        0.319       35.539       12.485       17.285       19.138
        5222         6963         8192        0.513        0.529        0.273        0.319       40.902       12.503       17.312       19.149
        6963         6963         8192        0.402        0.427        0.361        0.425       36.486       14.331       18.683       20.130
        6964        10444        16384        0.646        0.654        0.186        0.212       45.129       11.171       14.499       18.918
       10444        10444        16384        0.505        0.529        0.253        0.319       35.736       12.546       17.989       19.732
       10445        13926        16384        0.504        0.529        0.253        0.319       41.094       12.535       18.062       19.726
       13926        13926        16384        0.400        0.427        0.357        0.425       36.096       14.637       19.316       20.745
       13927        20889        32768        0.642        0.654        0.173        0.212       44.336       11.057       14.830       19.290
       20889        20889        32768        0.514        0.529        0.279        0.319       35.777       13.256       18.290       20.656
       20890        27852        32768        0.514        0.529        0.279        0.319       41.541       13.182       18.238       20.532
       27852        27852        32768        0.408        0.427        0.374        0.425       36.484       15.167       19.686       21.455
       27853        41778        65536        0.655        0.654        0.217        0.212       45.354       12.886       14.676       20.309
       41778        41778        65536        0.527        0.529        0.313        0.319       36.598       14.332       18.651       21.707
       41779        55705        65536        0.527        0.529        0.314        0.319       42.554       16.061       18.656       21.530
       55705        55705        65536        0.422        0.427        0.412        0.425       38.151       18.103       21.011       23.650
       55706        83557       131072        0.650        0.654        0.197        0.212       47.927       14.042       15.749       23.021
       83557        83557       131072        0.518        0.529        0.289        0.319       38.489       18.464       20.804       25.540
       83558       111411       131072        0.518        0.529        0.289        0.319       44.523       19.128       21.009       25.745
      111411       111411       131072        0.411        0.427        0.384        0.425       39.219       23.454       23.743       27.763
      111412       167116       262144        0.654        0.654        0.212        0.212       48.820       18.597       17.953       27.474
      167116       167116       262144        0.525        0.529        0.308        0.319       38.978       22.925       23.239       29.553
      167117       222822       262144        0.525        0.529        0.308        0.319       45.501       22.938       23.310       30.313
      222822       222822       262144        0.428        0.427        0.428        0.425       40.388       25.917       26.644       31.381
      222823       334233       524288        0.658        0.654        0.226        0.212       50.744       21.717       19.536       31.154
      334233       334233       524288        0.535        0.529        0.337        0.319       40.982       25.037       24.859       32.829
      334234       445644       524288        0.535        0.529        0.338        0.319       47.932       26.337       24.734       33.650
      445644       445644       524288        0.432        0.427        0.436        0.425       42.179       30.151       29.863       37.681
      445645       668466      1048576        0.662        0.654        0.240        0.212       62.838       31.233       25.864       46.609
      668466       668466      1048576        0.529        0.529        0.318        0.319       48.649       49.092       40.900       63.362
      668467       891289      1048576        0.529        0.529        0.318        0.319       52.657       48.093       39.434       62.065
      891289       891289      1048576        0.432        0.427        0.434        0.425       44.405       64.618       50.705       71.969
      891290      1336933      2097152        0.659        0.654        0.229        0.212       57.153       58.995       42.448       83.785
     1336933      1336933      2097152        0.534        0.529        0.333        0.319       55.282       77.256       58.298       96.911
     1336934      1782579      2097152        0.534        0.529        0.333        0.319       65.987       77.979       59.054       97.642
