       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       48.141       12.633       12.900       17.270
           8            8            8        1.000        0.344       -1.000        0.438       20.638       24.159       12.774       28.379
           9           16           16        1.000        0.559       -1.000        0.250       25.484       24.455       13.623       28.448
          16           16           16        1.000        0.356       -1.000        0.469       21.784       26.266       14.146       30.794
          17           32           32        1.000        0.583       -1.000        0.250       28.122       27.127       15.837       31.777
          32           32           32        1.000        0.362       -1.000        0.484       25.107       29.462       18.462       35.538
          33           48           64        0.486        0.595        0.002        0.250       32.405       12.643       13.691       20.186
          48           48           64        0.254        0.470        0.005        0.367       27.894       12.076       13.169       19.712
          49           72          128        0.619        0.681        0.005        0.188       35.521       11.926       12.843       19.892
          72           72          128        0.443        0.569        0.010        0.277       30.282       12.010       12.791       20.001
          73          108          128        0.435        0.564        0.010        0.281       37.444       11.883       12.821       19.672
         108          108          128        0.169        0.429        0.016        0.418       35.686       13.714       14.388       21.052
         109          162          256        0.581        0.653        0.078        0.211       38.964       13.741       14.374       21.254
         162          162          256        0.383        0.530        0.026        0.314       30.119       11.582       12.201       19.287
         163          217          256        0.379        0.528        0.026        0.316       34.717       11.503       12.243       18.955
         217          217          256        0.181        0.428        0.036        0.422       29.125       10.555       11.218       18.018
         218          325          512        0.590        0.653        0.726        0.212       45.902       12.276       14.175       18.898
         325          325          512        0.395        0.530        0.049        0.316       32.018        9.898       10.209       17.275
         326          435          512        0.393        0.529        0.048        0.317       32.147        9.811        9.996       17.276
         435          435          512        0.202        0.427        0.067        0.424       27.078        9.541        9.596       16.975
         436          652         1024        0.598        0.653        0.058        0.212       34.039        9.396        9.553       16.730
         652          652         1024        0.416        0.529        0.087        0.318       26.704        9.349        9.203       16.486
         653          870         1024        0.412        0.528        0.082        0.318       31.135        9.275        8.925       16.319
         870          870         1024        0.236        0.427        0.111        0.424       26.264        9.416        8.908       16.376
