       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       49.447       12.592       13.073       17.220
           8            8            8        1.000        0.344       -1.000        0.438       20.915       24.094       12.894       28.254
           9           16           16        1.000        0.559       -1.000        0.250       25.575       24.307       13.291       28.395
          16           16           16        1.000        0.356       -1.000        0.469       21.868       25.776       14.279       30.525
          17           32           32        1.000        0.583       -1.000        0.250       29.244       26.588       16.116       31.516
          32           32           32        1.000        0.362       -1.000        0.484       24.742       29.044       18.761       35.011
          33           48           64        0.594        0.595        0.249        0.250       39.022       18.632       15.065       25.864
          48           48           64        0.468        0.470        0.365        0.367       36.641       20.150       14.703       26.054
          49           72          128        0.681        0.681        0.187        0.188       44.973       16.781       14.036       24.679
          72           72          128        0.568        0.569        0.278        0.277       40.015       18.385       14.167       25.302
          73          108          128        0.564        0.564        0.281        0.281       46.954       18.266       14.082       25.225
         108          108          128        0.427        0.429        0.418        0.418       46.289       22.546       15.817       27.791
         109          162          256        0.652        0.653        0.211        0.211       50.161       18.566       15.228       26.218
         162          162          256        0.529        0.530        0.314        0.314       41.297       18.318       13.327       24.874
         163          217          256        0.527        0.528        0.316        0.316       45.721       18.237       13.217       24.797
         217          217          256        0.426        0.428        0.421        0.422       40.457       19.129       12.261       24.617
         218          325          512        0.653        0.653        0.213        0.212       53.422       15.339       12.005       22.959
         325          325          512        0.529        0.530        0.315        0.316       44.051       16.103       11.136       22.772
         326          435          512        0.528        0.529        0.316        0.317       43.868       16.048       11.053       22.782
         435          435          512        0.425        0.427        0.420        0.424       39.278       17.473       10.715       23.065
         436          652         1024        0.653        0.653        0.211        0.212       47.023       13.625       10.444       21.441
         652          652         1024        0.528        0.529        0.314        0.318       38.695       14.939       10.106       21.774
         653          870         1024        0.528        0.528        0.316        0.318       43.344       14.982        9.967       21.704
         870          870         1024        0.426        0.427        0.419        0.424       38.929       16.628        9.879       22.365
         871         1305         2048        0.651        0.654        0.205        0.212       48.154       12.853        9.811       20.983
        1305         1305         2048        0.526        0.529        0.310        0.318       39.397       14.374        9.734       21.412
        1306         1740         2048        0.525        0.528        0.310        0.319       45.614       14.416        9.784       21.419
        1740         1740         2048        0.425        0.427        0.415        0.425       40.817       16.315        9.952       22.081
        1741         2610         4096        0.653        0.654        0.208        0.212       51.492       12.689        9.340       20.876
        2610         2610         4096        0.528        0.529        0.316        0.318       40.642       14.874        9.635       21.977
        2611         3481         4096        0.528        0.529        0.316        0.319       46.359       14.883        9.638       21.953
        3481         3481         4096        0.427        0.427        0.423        0.425       41.328       17.262        9.991       23.081
        3482         5221         8192        0.654        0.654        0.213        0.212       50.735       13.356        8.915       22.155
        5221         5221         8192        0.530        0.529        0.321        0.319       41.247       15.632        9.345       23.091
        5222         6963         8192        0.529        0.529        0.320        0.319       47.144       15.654        9.307       23.092
        6963         6963         8192        0.429        0.427        0.428        0.425       41.817       18.097        9.699       24.172
        6964        10444        16384        0.653        0.654        0.211        0.212       51.115       13.652        8.399       22.652
       10444        10444        16384        0.528        0.529        0.317        0.319       42.074       15.964        8.574       23.755
       10445        13926        16384        0.528        0.529        0.317        0.319       47.111       15.939        8.645       23.764
       13926        13926        16384        0.426        0.427        0.423        0.425       42.301       18.360        8.943       24.815
       13927        20889        32768        0.653        0.654        0.210        0.212       50.923       13.836        8.327       23.050
       20889        20889        32768        0.529        0.529        0.319        0.319       42.019       16.269        8.280       24.277
       20890        27852        32768        0.529        0.529        0.319        0.319       47.596       16.213        8.257       24.153
       27852        27852        32768        0.428        0.427        0.425        0.425       43.008       18.751        8.266       25.328
       27853        41778        65536        0.655        0.654        0.216        0.212       52.931       15.111        8.291       23.610
       41778        41778        65536        0.530        0.529        0.321        0.319       43.588       16.941        8.398       25.421
       41779        55705        65536        0.530        0.529        0.321        0.319       49.908       18.468        8.340       25.520
       55705        55705        65536        0.428        0.427        0.428        0.425       46.765       21.095        8.865       27.414
       55706        83557       131072        0.654        0.654        0.213        0.212       57.902       17.693        8.958       27.993
       83557        83557       131072        0.529        0.529        0.321        0.319       47.272       22.983        9.321       30.087
       83558       111411       131072        0.529        0.529        0.320        0.319       53.700       23.016        9.310       30.233
      111411       111411       131072        0.429        0.427        0.428        0.425       49.139       28.178       10.477       32.079
      111412       167116       262144        0.654        0.654        0.213        0.212       61.333       22.513        9.286       32.358
      167116       167116       262144        0.529        0.529        0.320        0.319       51.306       27.358       10.466       34.446
      167117       222822       262144        0.529        0.529        0.320        0.319       67.935       30.242       10.575       35.221
      222822       222822       262144        0.428        0.427        0.426        0.425       53.101       31.051       10.539       35.868
      222823       334233       524288        0.654        0.654        0.212        0.212       66.586       26.040       10.569       35.835
      334233       334233       524288        0.529        0.529        0.320        0.319       55.967       31.444       11.809       39.607
      334234       445644       524288        0.529        0.529        0.319        0.319       62.790       32.057       11.769       39.036
      445644       445644       524288        0.428        0.427        0.426        0.425       60.392       37.695       14.615       43.354
      445645       668466      1048576        0.654        0.654        0.213        0.212       76.791       38.894       10.606       53.545
      668466       668466      1048576        0.529        0.529        0.319        0.319       67.255       62.756       10.741       68.578
      668467       891289      1048576        0.529        0.529        0.319        0.319       76.139       63.947       10.578       69.141
      891289       891289      1048576        0.428        0.427        0.426        0.425       83.699       82.600       10.598       80.191
      891290      1336933      2097152        0.654        0.654        0.213        0.212       90.916       77.531        9.494       95.316
     1336933      1336933      2097152        0.529        0.529        0.319        0.319       98.859       96.778        9.455      104.637
