       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       49.943       12.697       13.221       17.871
           8            8            8        1.000        0.344       -1.000        0.438       21.258       24.128       13.092       28.314
           9           16           16        1.000        0.559       -1.000        0.250       25.998       24.354       13.472       28.392
          16           16           16        1.000        0.356       -1.000        0.469       21.833       25.992       14.538       30.686
          17           32           32        1.000        0.583       -1.000        0.250       27.550       26.777       16.275       31.646
          32           32           32        1.000        0.362       -1.000        0.484       24.900       29.152       21.958       35.050
          33           48           64        0.984        0.595       16.000        0.250       35.505       65.225       72.731       53.793
          48           48           64        0.984        0.470       23.500        0.367       59.843       82.929      107.717       62.469
          49           72          128        0.992        0.681       24.000        0.188       68.556       84.291      110.442       63.167
          72           72          128        0.992        0.569       35.500        0.277      104.504      112.012      167.594       77.406
          73          108          128        0.992        0.564       36.000        0.281      116.587      112.989      183.616       77.838
         108          108          128        0.992        0.429       53.500        0.418      154.754      155.552      282.016      100.674
         109          162          256        0.996        0.653       54.000        0.211      163.182      156.763      284.450      101.370
         162          162          256        0.996        0.530       80.500        0.314      222.203      216.795      406.946      132.185
         163          217          256        0.996        0.528       81.000        0.316      227.797      217.869      409.668      132.562
         217          217          256        0.996        0.428      108.000        0.422      292.071      280.263      534.760      164.896
         218          325          512        0.998        0.653      108.500        0.212      304.229      281.405      536.922      165.461
         325          325          512        0.998        0.530      162.000        0.316      417.243      406.185      786.989      231.057
         326          435          512        0.998        0.529      162.500        0.317      422.490      407.237      789.352      231.763
         435          435          512        0.998        0.427      217.000        0.424      547.004      534.693     1045.272      299.413
         436          652         1024        0.999        0.653      217.500        0.212      554.663      535.480     1046.424      299.615
         652          652         1024        0.999        0.529      325.500        0.318      801.290      788.282     1552.032      432.929
         653          870         1024        0.999        0.528      326.000        0.318      808.923      791.696     1558.763      436.079
         870          870         1024        0.999        0.427      434.500        0.424     1056.764     1043.546     2063.203      568.942
         871         1305         2048        1.000        0.654      435.000        0.212     1066.893     1044.811     2065.851      569.701
        1305         1305         2048        1.000        0.529      652.000        0.318     1567.371     1552.485     3081.701      838.403
        1306         1740         2048        1.000        0.528      652.500        0.319     1575.646     1554.176     3084.824      840.831
        1740         1740         2048        1.000        0.427      869.500        0.425     2078.830     2062.000     4101.064     1107.549
        1741         2610         4096        1.000        0.654      870.000        0.212     2089.328     2063.920     4104.363     1109.868
        2047         2610         4096        1.000        0.607     1023.000        0.250     2442.034     2422.209     4821.216     1303.675
