       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       64.163       12.839       19.355       26.413
           7            7            8        0.389        0.393        0.367        0.375       34.385       23.847       17.698       29.129
           8           10           16        0.596        0.597        0.215        0.219       47.553       21.432       17.448       27.812
          10           10           16        0.524        0.524        0.277        0.281       47.492       22.244       17.183       28.390
          11           13           16        0.491        0.492        0.309        0.313       55.742       22.116       16.568       28.021
          13           13           16        0.431        0.432        0.371        0.375       50.281       23.509       16.928       28.627
          14           19           32        0.642        0.641        0.205        0.203       59.255       19.560       15.370       26.744
          19           19           32        0.547        0.547        0.282        0.281       59.099       20.634       15.461       27.038
          20           28           32        0.530        0.530        0.297        0.297       60.103       21.734       16.184       27.971
          28           28           32        0.411        0.411        0.421        0.422       52.041       23.131       16.083       28.003
          29           42           64        0.633        0.633        0.219        0.219       69.488       19.018       15.225       26.226
          42           42           64        0.515        0.516        0.318        0.320       52.055       20.163       14.781       26.414
          43           54           64        0.507        0.508        0.326        0.328       56.454       20.198       14.712       26.306
          54           54           64        0.426        0.427        0.411        0.414       53.330       22.801       15.879       27.930
          55           81          128        0.649        0.650        0.210        0.211       72.868       18.902       15.134       26.288
          81           81          128        0.529        0.530        0.312        0.313       49.304       18.572       13.122       24.966
          82          108          128        0.525        0.526        0.316        0.316       53.570       18.543       13.034       24.942
         108          108          128        0.427        0.429        0.417        0.418       51.459       22.597       15.260       27.768
         109          162          256        0.652        0.653        0.212        0.211       59.751       18.694       14.843       26.257
         162          162          256        0.529        0.530        0.314        0.314       53.986       18.403       12.892       24.877
         163          217          256        0.527        0.528        0.316        0.316       55.680       18.393       12.867       24.832
         217          217          256        0.426        0.428        0.421        0.422       45.391       19.161       11.816       24.643
         218          325          512        0.653        0.653        0.213        0.212       53.368       15.290       11.516       22.894
         325          325          512        0.529        0.530        0.315        0.316       43.254       16.050       10.658       22.656
         326          435          512        0.528        0.529        0.316        0.317       47.330       16.044       10.618       22.775
         435          435          512        0.425        0.427        0.420        0.424       41.925       17.441       10.318       23.046
         436          652         1024        0.653        0.653        0.211        0.212       49.679       13.599        9.883       21.374
         652          652         1024        0.528        0.529        0.315        0.318       40.589       14.920        9.549       21.713
         653          870         1024        0.528        0.528        0.315        0.318       53.066       14.958        9.569       21.730
         870          870         1024        0.426        0.427        0.419        0.424       45.732       16.557        9.476       22.468
         871         1305         2048        0.651        0.654        0.206        0.212       49.320       12.799        9.342       20.858
        1305         1305         2048        0.526        0.529        0.309        0.318       40.090       14.316        9.400       21.488
        1306         1740         2048        0.525        0.528        0.310        0.319       46.734       14.365        9.382       21.400
        1740         1740         2048        0.425        0.427        0.415        0.425       42.702       16.810       10.211       22.766
        1741         2610         4096        0.653        0.654        0.208        0.212       51.434       12.634        8.944       20.881
