       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       64.088       13.032       16.924       23.735
           7            7            8        0.875        0.393        3.000        0.375       30.346       33.530       20.746       35.591
           8           10           16        0.938        0.597        3.500        0.219       43.135       35.429       22.527       37.119
          10           10           16        0.938        0.524        4.500        0.281       41.490       38.300       25.197       39.476
          11           13           16        0.938        0.492        5.000        0.313       54.443       39.020       26.526       40.061
          13           13           16        0.938        0.432        6.000        0.375       47.935       42.075       30.285       41.827
          14           19           32        0.969        0.641        6.500        0.203       56.473       42.745       31.229       41.802
          19           19           32        0.969        0.547        9.000        0.281       58.578       48.876       42.061       45.023
          20           28           32        0.969        0.530        9.500        0.297       61.949       51.257       44.774       46.487
          28           28           32        0.969        0.411       13.500        0.422       59.352       60.237       62.309       50.984
          29           42           64        0.984        0.633       14.000        0.219       67.624       61.306       63.994       51.340
          42           42           64        0.984        0.516       20.500        0.320       84.502       76.743       94.289       59.049
          43           54           64        0.984        0.508       21.000        0.328       83.926       77.546       96.805       59.359
          54           54           64        0.984        0.427       26.500        0.414       98.350       91.950      123.538       67.135
          55           81          128        0.992        0.650       27.000        0.211      109.158       92.867      125.646       67.888
          81           81          128        0.992        0.530       40.000        0.313      138.036      121.939      215.984       81.625
          82          108          128        0.992        0.526       40.500        0.316      138.733      122.924      218.493       82.320
         108          108          128        0.992        0.429       53.500        0.418      169.265      155.607      282.445      100.286
         109          162          256        0.996        0.653       54.000        0.211      181.941      157.041      284.907      101.378
         162          162          256        0.996        0.530       80.500        0.314      238.256      217.250      408.052      131.846
         163          217          256        0.996        0.528       81.000        0.316      237.811      218.165      409.268      131.922
         217          217          256        0.996        0.428      108.000        0.422      296.057      280.363      535.276      163.992
         218          325          512        0.998        0.653      108.500        0.212      304.167      281.488      537.174      164.506
         325          325          512        0.998        0.530      162.000        0.316      422.194      406.233      787.608      229.810
         326          435          512        0.998        0.529      162.500        0.317      427.311      407.103      789.104      230.484
         435          435          512        0.998        0.427      217.000        0.424      550.417      534.388     1044.754      296.878
         436          652         1024        0.999        0.653      217.500        0.212      558.344      535.515     1046.077      297.608
         652          652         1024        0.999        0.529      325.500        0.318      807.947      788.097     1552.798      430.365
         653          870         1024        0.999        0.528      326.000        0.318      819.385      789.390     1554.393      432.155
         870          870         1024        0.999        0.427      434.500        0.424     1058.612     1043.174     2064.083      564.585
         871         1305         2048        1.000        0.654      435.000        0.212     1068.449     1044.420     2065.343      565.797
        1305         1305         2048        1.000        0.529      652.000        0.318     1570.945     1554.385     3086.168      834.006
        1306         1740         2048        1.000        0.528      652.500        0.319     1576.856     1553.664     3084.235      834.982
        1740         1740         2048        1.000        0.427      869.500        0.425     2079.611     2061.929     4100.711     1103.296
        1741         2610         4096        1.000        0.654      870.000        0.212     2089.663     2063.345     4103.117     1103.451
        2047         2610         4096        1.000        0.607     1023.000        0.250     2442.996     2422.007     4819.944     1294.049
