       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       99.538       64.532       42.223       69.954
           7            7            8        0.392        0.393        0.371        0.375       58.228       70.246       47.175       72.825
           8           10           16        0.596        0.597        0.215        0.219       76.414       67.356       43.871       71.316
          10           10           16        0.523        0.524        0.278        0.281       73.341       68.332       45.450       71.719
          11           13           16        0.491        0.492        0.309        0.313       81.907       68.388       45.344       71.191
          13           13           16        0.431        0.432        0.372        0.375       80.750       69.609       46.299       72.101
          14           19           32        0.641        0.641        0.202        0.203       98.274       66.086       42.129       69.821
          19           19           32        0.547        0.547        0.280        0.281       82.621       66.922       43.581       70.199
          20           28           32        0.530        0.530        0.296        0.297       93.019       68.092       44.756       71.190
          28           28           32        0.411        0.411        0.420        0.422       82.730       69.398       45.800       71.244
          29           42           64        0.633        0.633        0.219        0.219       91.867       65.450       41.331       69.317
          42           42           64        0.516        0.516        0.320        0.320       84.812       66.877       43.756       69.431
          43           54           64        0.508        0.508        0.329        0.328       85.369       66.501       43.284       69.412
          54           54           64        0.427        0.427        0.414        0.414       82.119       69.079       45.647       71.242
          55           81          128        0.650        0.650        0.211        0.211       89.551       65.353       40.836       69.231
          81           81          128        0.530        0.530        0.314        0.313       75.194       64.531       41.655       67.782
          82          108          128        0.526        0.526        0.318        0.316       79.635       64.621       41.618       67.820
         108          108          128        0.429        0.429        0.420        0.418       78.207       69.002       45.547       71.030
         109          162          256        0.653        0.653        0.213        0.211       90.633       65.495       40.841       68.939
         162          162          256        0.531        0.530        0.317        0.314       72.138       64.426       41.458       67.628
         163          217          256        0.529        0.528        0.319        0.316       76.651       65.543       41.662       68.673
         217          217          256        0.429        0.428        0.427        0.422       69.235       65.157       42.169       67.238
         218          325          512        0.654        0.653        0.217        0.212       77.294       61.444       37.468       65.333
         325          325          512        0.532        0.530        0.324        0.316       67.091       62.218       39.305       65.316
         326          435          512        0.531        0.529        0.325        0.317       70.076       62.264       39.304       65.250
         435          435          512        0.431        0.427        0.434        0.424       65.462       63.901       40.600       65.854
         436          652         1024        0.656        0.653        0.223        0.212       73.792       60.294       35.952       64.111
         652          652         1024        0.534        0.529        0.334        0.318       66.547       63.269       38.576       64.848
         653          870         1024        0.533        0.528        0.334        0.318       77.710       64.919       40.235       64.841
         870          870         1024        0.434        0.427        0.446        0.424       67.059       66.833       40.444       65.899
         871         1305         2048        0.659        0.654        0.235        0.212       75.812       63.368       36.248       63.882
        1305         1305         2048        0.537        0.529        0.351        0.318       76.880       74.404       50.026       65.115
        1306         1740         2048        0.537        0.528        0.351        0.319       82.260       75.880       53.460       65.077
        1740         1740         2048        0.438        0.427        0.464        0.425       87.602       81.124       67.046       67.540
        1741         2610         4096        0.662        0.654        0.251        0.212       95.376       76.936       65.679       65.274
        2610         2610         4096        0.539        0.529        0.363        0.318      101.770       82.822       74.466       72.945
        2611         3481         4096        0.539        0.529        0.363        0.319      107.139       83.344       74.669       73.515
        3481         3481         4096        0.434        0.427        0.451        0.425      132.198       92.169       87.959       88.139
        3482         5221         8192        0.658        0.654        0.239        0.212      142.270       90.253       82.031       86.834
        5221         5221         8192        0.530        0.529        0.325        0.319      150.752      101.076      100.629       98.404
        5222         6963         8192        0.530        0.529        0.324        0.319      159.907      103.001      101.298       98.767
        6963         6963         8192        0.429        0.427        0.432        0.425      140.957      106.924      106.771      102.196
        6964        10444        16384        0.655        0.654        0.217        0.212      149.638      104.750      101.581       99.766
       10444        10444        16384        0.530        0.529        0.325        0.319      129.117      110.600      108.118      105.087
       10445        13926        16384        0.530        0.529        0.326        0.319      134.815      109.801      107.741      104.572
       13926        13926        16384        0.429        0.427        0.432        0.425      127.513      116.937      109.040      110.768
       13927        20889        32768        0.655        0.654        0.219        0.212      136.575      115.836      103.753      110.824
       20889        20889        32768        0.529        0.529        0.321        0.319      134.201      125.516      110.659      122.782
       20890        27852        32768        0.529        0.529        0.322        0.319      139.479      126.559      110.731      123.452
       27852        27852        32768        0.427        0.427        0.427        0.425      129.796      132.566      115.083      135.024
       27853        41778        65536        0.654        0.654        0.214        0.212      139.640      130.804      111.781      135.059
       40988        41778        65536        0.535        0.535        0.314        0.313      125.670      136.833      117.122      155.268
