       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000      149.325      113.016       85.132      115.623
           7            7            8        0.393        0.393        0.375        0.375      113.226      123.211       93.727      119.935
           8           10           16        0.597        0.597        0.219        0.219      130.357      119.089       90.106      117.878
          10           10           16        0.524        0.524        0.281        0.281      127.625      120.249       91.738      118.173
          11           13           16        0.491        0.492        0.312        0.313      136.241      120.266       91.793      117.905
          13           13           16        0.432        0.432        0.375        0.375      134.955      121.990       93.268      118.738
          14           19           32        0.641        0.641        0.203        0.203      151.453      117.380       88.754      116.453
          19           19           32        0.547        0.547        0.281        0.281      135.306      118.598       90.865      116.655
          20           28           32        0.530        0.530        0.297        0.297      146.116      120.330       92.144      117.956
          28           28           32        0.411        0.411        0.422        0.422      135.504      121.635       93.396      118.100
          29           42           64        0.633        0.633        0.218        0.219      143.633      116.727       88.458      115.775
          42           42           64        0.516        0.516        0.321        0.320      137.265      118.663       91.407      116.148
          43           54           64        0.508        0.508        0.328        0.328      136.763      118.144       91.068      115.964
          54           54           64        0.427        0.427        0.415        0.414      133.307      121.061       93.472      117.832
          55           81          128        0.650        0.650        0.211        0.211      140.577      116.362       88.417      115.488
          81           81          128        0.530        0.530        0.312        0.313      126.564      116.034       89.456      114.240
          82          108          128        0.526        0.526        0.317        0.316      131.107      116.185       89.536      114.380
         108          108          128        0.429        0.429        0.418        0.418      130.733      120.947       93.621      117.793
         109          162          256        0.653        0.653        0.211        0.211      143.698      116.418       88.460      115.623
         162          162          256        0.530        0.530        0.314        0.314      124.523      115.504       90.139      113.957
         163          217          256        0.528        0.528        0.317        0.316      128.643      115.854       90.090      114.122
         217          217          256        0.428        0.428        0.422        0.422      121.696      116.853       91.349      114.084
         218          325          512        0.653        0.653        0.212        0.212      128.859      111.742       85.869      111.645
         325          325          512        0.530        0.530        0.316        0.316      118.779      113.117       88.660      111.912
         326          435          512        0.529        0.529        0.317        0.317      122.000      113.318       88.653      111.987
         435          435          512        0.427        0.427        0.423        0.424      117.772      114.975       90.244      112.532
         436          652         1024        0.653        0.653        0.212        0.212      126.037      110.318       84.792      110.537
         652          652         1024        0.529        0.529        0.319        0.318      119.123      113.763       88.626      111.632
         653          870         1024        0.529        0.528        0.319        0.318      130.537      114.653       89.507      111.536
         870          870         1024        0.427        0.427        0.424        0.424      119.102      116.913       91.136      112.736
         871         1305         2048        0.654        0.654        0.213        0.212      128.299      112.554       85.998      110.537
        1305         1305         2048        0.529        0.529        0.318        0.318      127.177      121.838      101.249      111.898
        1306         1740         2048        0.529        0.528        0.319        0.319      133.302      122.478      103.351      111.852
        1740         1740         2048        0.428        0.427        0.425        0.425      131.857      125.605      111.981      113.461
        1741         2610         4096        0.653        0.654        0.212        0.212      140.104      121.163      108.779      111.157
        2610         2610         4096        0.528        0.529        0.317        0.318      130.528      126.022      115.053      116.578
        2611         3481         4096        0.528        0.529        0.318        0.319      140.976      123.939      110.477      115.859
        3481         3481         4096        0.427        0.427        0.423        0.425      135.089      128.902      115.674      122.355
        3482         5221         8192        0.653        0.654        0.211        0.212      142.670      124.770      107.547      118.988
        5221         5221         8192        0.528        0.529        0.318        0.319      128.759      129.870      117.967      123.172
        5222         6963         8192        0.528        0.529        0.317        0.319      135.223      132.040      118.519      123.588
        6963         6963         8192        0.427        0.427        0.424        0.425      130.984      134.877      121.428      125.757
        6964        10444        16384        0.654        0.654        0.213        0.212      137.607      133.110      117.321      124.103
       10444        10444        16384        0.529        0.529        0.319        0.319      127.575      139.604      122.819      129.577
       10445        13926        16384        0.529        0.529        0.320        0.319      133.870      139.993      121.483      128.857
       13926        13926        16384        0.428        0.427        0.427        0.425      128.515      144.396      120.916      133.695
       13927        20889        32768        0.655        0.654        0.215        0.212      137.232      142.693      115.830      134.384
       20889        20889        32768        0.530        0.529        0.323        0.319      129.368      147.588      120.389      140.977
       20890        27852        32768        0.530        0.529        0.322        0.319      134.772      148.355      120.279      140.948
       27852        27852        32768        0.429        0.427        0.431        0.425      130.318      152.988      124.539      152.153
       27853        41778        65536        0.654        0.654        0.214        0.212      140.080      151.316      120.527      153.496
       40973        41778        65536        0.535        0.535        0.315        0.313      131.927      157.739      126.709      174.242
