       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       97.658       58.949       42.266       65.051
           7            7            8        0.391        0.393        0.369        0.375       55.044       65.199       47.057       68.681
           8           10           16        0.596        0.597        0.214        0.219       73.360       62.214       43.989       66.933
          10           10           16        0.523        0.524        0.277        0.281       70.031       63.276       45.405       67.267
          11           13           16        0.491        0.492        0.309        0.313       78.243       63.139       45.199       66.989
          13           13           16        0.431        0.432        0.372        0.375       76.661       64.497       46.175       67.586
          14           19           32        0.641        0.641        0.202        0.203       95.367       60.886       42.102       65.367
          19           19           32        0.547        0.547        0.280        0.281       79.537       61.719       43.449       65.728
          20           28           32        0.530        0.530        0.296        0.297       90.031       63.053       44.612       66.863
          28           28           32        0.411        0.411        0.421        0.422       80.155       64.260       45.630       66.874
          29           42           64        0.634        0.633        0.221        0.219       88.999       60.309       41.188       64.976
          42           42           64        0.517        0.516        0.323        0.320       82.874       61.651       43.672       65.048
          43           54           64        0.509        0.508        0.331        0.328       82.798       61.377       43.146       65.002
          54           54           64        0.429        0.427        0.419        0.414       79.773       64.074       45.499       67.033
          55           81          128        0.651        0.650        0.216        0.211       87.075       60.280       40.979       64.796
          81           81          128        0.532        0.530        0.319        0.313       73.365       59.728       41.561       63.518
          82          108          128        0.528        0.526        0.323        0.316       77.605       59.790       41.583       63.453
         108          108          128        0.432        0.429        0.427        0.418       74.510       64.039       45.383       66.887
         109          162          256        0.656        0.653        0.222        0.211       94.316       61.238       41.138       65.491
         162          162          256        0.536        0.530        0.330        0.314       72.338       60.400       41.375       64.250
         163          217          256        0.534        0.528        0.333        0.316       76.323       60.530       41.443       64.332
         217          217          256        0.435        0.428        0.443        0.422       69.601       61.385       42.273       64.025
         218          325          512        0.660        0.653        0.237        0.212       77.230       57.752       37.352       62.115
         325          325          512        0.542        0.530        0.354        0.316       67.214       58.992       39.336       62.316
         326          435          512        0.541        0.529        0.355        0.317       70.474       59.193       39.400       62.305
         435          435          512        0.444        0.427        0.473        0.424       65.850       60.938       40.882       63.025
         436          652         1024        0.667        0.653        0.267        0.212       74.647       57.475       35.940       61.279
         652          652         1024        0.553        0.529        0.399        0.318       68.204       60.808       38.742       62.443
         653          870         1024        0.552        0.528        0.399        0.318       71.271       60.957       38.659       62.348
         870          870         1024        0.460        0.427        0.529        0.424       69.687       64.833       40.974       63.793
         871         1305         2048        0.679        0.654        0.323        0.212       88.577       62.785       38.450       61.903
        1305         1305         2048        0.569        0.529        0.470        0.318       80.627       72.633       49.918       63.934
        1306         1740         2048        0.569        0.528        0.471        0.319       87.161       73.941       52.587       63.939
        1740         1740         2048        0.464        0.427        0.556        0.425       98.353       78.377       67.017       67.624
        1741         2610         4096        0.679        0.654        0.335        0.212      108.361       73.528       64.878       65.682
        2610         2610         4096        0.541        0.529        0.375        0.318      128.553       81.880       77.011       76.832
        2611         3481         4096        0.541        0.529        0.372        0.319      134.751       81.546       76.669       76.596
        3481         3481         4096        0.431        0.427        0.440        0.425      157.511       95.267       96.657       95.267
        3482         5221         8192        0.657        0.654        0.231        0.212      162.384       91.787       89.344       92.411
        5221         5221         8192        0.531        0.529        0.330        0.319      148.777      100.056      102.034      100.437
        5222         6963         8192        0.531        0.529        0.330        0.319      155.578      101.403      102.549      100.265
        6963         6963         8192        0.430        0.427        0.438        0.425      140.251      104.781      107.452      102.926
        6964        10444        16384        0.656        0.654        0.224        0.212      149.985      103.112      102.606      101.311
       10444        10444        16384        0.531        0.529        0.331        0.319      134.485      105.798      106.481      103.767
       10445        13926        16384        0.531        0.529        0.331        0.319      140.142      107.482      108.649      105.287
       13926        13926        16384        0.428        0.427        0.427        0.425      135.404      115.443      116.568      111.515
       13927        20889        32768        0.654        0.654        0.213        0.212      144.111      114.127      112.512      112.207
       20889        20889        32768        0.528        0.529        0.317        0.319      126.910      122.372      113.259      118.160
       20890        27852        32768        0.528        0.529        0.317        0.319      134.423      123.172      111.837      118.109
       27852        27852        32768        0.427        0.427        0.422        0.425      123.817      128.832      115.138      125.377
       27853        41778        65536        0.653        0.654        0.209        0.212      133.871      126.845      111.224      127.830
       38356        41778        65536        0.556        0.557        0.288        0.293      121.809      131.341      116.140      142.507
