       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000      132.008       94.701       84.453       97.598
           7            7            8        0.392        0.393        0.374        0.375       97.273      104.632       93.055      102.164
           8           10           16        0.597        0.597        0.219        0.219      114.304      100.687       89.415      100.095
          10           10           16        0.525        0.524        0.281        0.281      112.227      102.090       91.051      100.784
          11           13           16        0.492        0.492        0.312        0.313      120.148      102.431       91.390      100.396
          13           13           16        0.432        0.432        0.375        0.375      118.233      104.934       93.276      102.561
          14           19           32        0.641        0.641        0.203        0.203      135.361       99.066       87.779       98.659
          19           19           32        0.547        0.547        0.281        0.281      119.411      100.381       90.124       99.092
          20           28           32        0.530        0.530        0.297        0.297      130.020      101.793       91.352      100.204
          28           28           32        0.411        0.411        0.421        0.422      119.914      103.412       92.786      100.623
          29           42           64        0.633        0.633        0.219        0.219      127.946       98.384       87.730       98.046
          42           42           64        0.516        0.516        0.321        0.320      121.731      100.290       90.697       98.563
          43           54           64        0.508        0.508        0.329        0.328      121.457       99.972       90.434       98.492
          54           54           64        0.427        0.427        0.414        0.414      118.606      103.078       92.850      100.499
          55           81          128        0.650        0.650        0.211        0.211      125.393       98.077       87.488       98.022
          81           81          128        0.530        0.530        0.313        0.313      111.376       97.886       88.831       96.817
          82          108          128        0.526        0.526        0.316        0.316      115.596       97.983       88.820       96.802
         108          108          128        0.429        0.429        0.418        0.418      113.205      102.817       92.947      100.224
         109          162          256        0.653        0.653        0.210        0.211      131.876       97.913       87.608       97.823
         162          162          256        0.530        0.530        0.315        0.314      109.480       97.723       89.517       96.700
         163          217          256        0.528        0.528        0.317        0.316      113.428       97.721       89.492       96.573
         217          217          256        0.428        0.428        0.422        0.422      106.366       98.828       90.857       96.598
         218          325          512        0.653        0.653        0.212        0.212      113.898       93.839       85.192       94.173
         325          325          512        0.530        0.530        0.316        0.316      103.283       95.190       88.179       94.362
         326          435          512        0.529        0.529        0.317        0.317      106.583       95.232       88.237       94.387
         435          435          512        0.427        0.427        0.424        0.424      101.831       97.215       89.901       95.166
         436          652         1024        0.653        0.653        0.212        0.212      110.432       92.392       84.183       93.004
         652          652         1024        0.529        0.529        0.318        0.318      103.238       95.657       88.003       94.135
         653          870         1024        0.528        0.528        0.318        0.318      105.991       95.882       88.041       94.170
         870          870         1024        0.427        0.427        0.424        0.424      103.217       99.121       90.534       95.400
         871         1305         2048        0.653        0.654        0.211        0.212      121.868       95.490       86.542       93.065
        1305         1305         2048        0.528        0.529        0.317        0.318      109.554      103.495       99.283       94.368
        1306         1740         2048        0.528        0.528        0.317        0.319      115.814      104.254      101.209       94.444
        1740         1740         2048        0.427        0.427        0.424        0.425      112.139      107.571      111.288       95.825
        1741         2610         4096        0.654        0.654        0.212        0.212      120.935      102.335      108.213       93.503
        2610         2610         4096        0.529        0.529        0.318        0.318      111.102      106.435      114.574       96.605
        2611         3481         4096        0.529        0.529        0.318        0.319      117.152      107.254      115.398       97.212
        3481         3481         4096        0.428        0.427        0.425        0.425      110.772      109.370      118.810      103.240
        3482         5221         8192        0.654        0.654        0.212        0.212      119.731      106.882      111.862      102.338
        5221         5221         8192        0.528        0.529        0.317        0.319      109.428      109.719      118.211      105.751
        5222         6963         8192        0.528        0.529        0.317        0.319      115.594      111.679      119.160      105.381
        6963         6963         8192        0.427        0.427        0.423        0.425      109.696      114.947      123.149      107.815
        6964        10444        16384        0.654        0.654        0.212        0.212      118.301      113.399      117.171      105.890
       10444        10444        16384        0.528        0.529        0.317        0.319      108.346      117.710      122.827      109.511
       10445        13926        16384        0.529        0.529        0.318        0.319      114.399      117.992      121.637      109.002
       13926        13926        16384        0.427        0.427        0.424        0.425      109.058      123.865      122.708      114.206
       13927        20889        32768        0.653        0.654        0.211        0.212      117.549      122.379      116.456      114.277
       20889        20889        32768        0.528        0.529        0.316        0.319      109.493      126.728      120.813      120.658
       20890        27852        32768        0.528        0.529        0.317        0.319      115.628      127.608      120.274      120.437
       27852        27852        32768        0.426        0.427        0.422        0.425      110.925      132.346      124.073      127.552
       27853        41778        65536        0.653        0.654        0.209        0.212      120.850      131.537      119.930      128.166
       38341        41778        65536        0.556        0.557        0.288        0.293      113.519      136.350      125.277      143.088
