       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       47.921       12.636       12.907       17.247
           8            8            8        1.000        0.344       -1.000        0.438       20.271       24.292       12.739       28.392
           9           16           16        1.000        0.559       -1.000        0.250       25.464       24.513       13.577       28.496
          16           16           16        1.000        0.356       -1.000        0.469       24.004       26.337       14.189       30.889
          17           32           32        1.000        0.583       -1.000        0.250       26.992       27.167       15.806       31.792
          32           32           32        1.000        0.362       -1.000        0.484       22.529       29.414       18.393       35.483
          33           48           64        0.595        0.595        0.253        0.250       32.510       16.746       20.742       22.501
          48           48           64        0.471        0.470        0.371        0.367       35.240       17.984       22.425       22.866
          49           72          128        0.681        0.681        0.189        0.188       39.588       14.966       18.262       21.319
          72           72          128        0.569        0.569        0.280        0.277       35.730       16.388       20.651       22.047
          73          108          128        0.565        0.564        0.284        0.281       38.223       16.219       20.562       21.811
         108          108          128        0.430        0.429        0.422        0.418       44.156       20.031       24.153       24.434
         109          162          256        0.653        0.653        0.213        0.211       47.248       16.785       20.259       22.942
         162          162          256        0.531        0.530        0.317        0.314       38.970       16.312       20.603       21.396
         163          217          256        0.529        0.528        0.319        0.316       45.788       16.145       20.679       21.334
         217          217          256        0.429        0.428        0.425        0.422       38.546       16.779       21.030       21.134
         218          325          512        0.653        0.653        0.212        0.212       46.851       13.420       17.230       19.519
         325          325          512        0.530        0.530        0.317        0.316       33.820       13.874       18.426       20.317
         326          435          512        0.529        0.529        0.317        0.317       41.190       13.934       18.488       19.791
         435          435          512        0.427        0.427        0.425        0.424       36.741       15.023       19.290       19.778
         436          652         1024        0.653        0.653        0.211        0.212       42.185       11.774       15.530       17.946
         652          652         1024        0.528        0.529        0.314        0.318       36.185       12.802       17.367       18.482
         653          870         1024        0.527        0.528        0.315        0.318       48.481       12.838       17.345       18.345
         870          870         1024        0.425        0.427        0.419        0.424       37.983       14.125       18.410       18.952
         871         1305         2048        0.651        0.654        0.205        0.212       45.101       10.873       14.954       17.353
        1305         1305         2048        0.525        0.529        0.307        0.318       36.866       12.200       16.833       17.824
        1306         1740         2048        0.525        0.528        0.308        0.319       42.820       12.492       17.251       18.660
        1740         1740         2048        0.422        0.427        0.411        0.425       38.211       13.751       18.072       18.591
        1741         2610         4096        0.649        0.654        0.196        0.212       46.541       10.554       14.484       17.309
        2610         2610         4096        0.520        0.529        0.294        0.318       37.716       12.214       16.697       18.184
        2611         3481         4096        0.520        0.529        0.294        0.319       44.254       12.240       16.773       18.250
        3481         3481         4096        0.415        0.427        0.392        0.425       38.930       14.159       18.230       20.617
        3482         5221         8192        0.645        0.654        0.182        0.212       46.803       10.697       14.722       19.202
        5221         5221         8192        0.513        0.529        0.273        0.319       37.935       12.395       17.177       18.945
        5222         6963         8192        0.512        0.529        0.273        0.319       43.384       12.363       17.241       18.934
        6963         6963         8192        0.404        0.427        0.365        0.425       38.248       14.238       18.697       19.817
        6964        10444        16384        0.637        0.654        0.157        0.212       46.769       10.380       14.880       18.391
       10444        10444        16384        0.497        0.529        0.236        0.319       37.231       11.904       17.628       19.176
       10445        13926        16384        0.497        0.529        0.236        0.319       42.500       11.892       17.597       19.167
       13926        13926        16384        0.380        0.427        0.314        0.425       37.292       13.476       18.533       19.939
       13927        20889        32768        0.619        0.654        0.109        0.212       45.403        9.457       15.176       18.246
       20889        20889        32768        0.461        0.529        0.164        0.319       35.969       10.672       17.322       18.906
       20890        27852        32768        0.460        0.529        0.164        0.319       41.686       10.658       17.289       18.939
       27852        27852        32768        0.321        0.427        0.219        0.425       35.940       11.825       16.750       19.469
       27853        41778        65536        0.621        0.654        0.111        0.212       45.685       10.437       15.254       18.581
       41146        41778        65536        0.470        0.534        0.164        0.314       36.370       10.979       17.557       19.384
