       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       48.854       12.698       13.214       18.007
           8            8            8        1.000        0.344       -1.000        0.438       20.856       24.117       13.026       28.272
           9           16           16        1.000        0.559       -1.000        0.250       25.886       24.296       13.496       28.394
          16           16           16        1.000        0.356       -1.000        0.469       23.426       25.974       14.803       30.682
          17           32           32        1.000        0.583       -1.000        0.250       27.193       26.808       16.427       31.603
          32           32           32        1.000        0.362       -1.000        0.484       22.333       29.083       22.934       35.013
          33           48           64        0.595        0.595        0.250        0.250       31.632       17.292       21.018       22.750
          48           48           64        0.469        0.470        0.367        0.367       33.647       18.323       22.862       22.964
          49           72          128        0.681        0.681        0.187        0.188       38.207       15.246       18.080       21.506
          72           72          128        0.568        0.569        0.277        0.277       35.070       16.732       20.863       22.302
          73          108          128        0.564        0.564        0.280        0.281       37.665       16.568       20.791       21.991
         108          108          128        0.429        0.429        0.418        0.418       43.389       20.484       24.565       24.768
         109          162          256        0.652        0.653        0.210        0.211       46.564       17.118       20.294       23.288
         162          162          256        0.530        0.530        0.313        0.314       40.552       16.977       20.986       21.494
         163          217          256        0.528        0.528        0.315        0.316       45.840       16.468       20.984       21.632
         217          217          256        0.427        0.428        0.420        0.422       38.462       17.029       21.325       21.315
         218          325          512        0.652        0.653        0.210        0.212       46.310       13.588       16.909       19.617
         325          325          512        0.529        0.530        0.313        0.316       33.793       14.027       18.672       20.775
         326          435          512        0.528        0.529        0.314        0.317       41.112       14.074       18.658       19.914
         435          435          512        0.426        0.427        0.420        0.424       36.882       15.295       19.640       19.951
         436          652         1024        0.652        0.653        0.210        0.212       41.441       11.861       15.226       18.060
         652          652         1024        0.528        0.529        0.314        0.318       36.336       12.887       17.476       18.489
         653          870         1024        0.527        0.528        0.315        0.318       50.914       13.007       17.469       18.416
         870          870         1024        0.426        0.427        0.420        0.424       38.225       14.328       18.708       19.184
         871         1305         2048        0.652        0.654        0.209        0.212       45.612       11.040       14.143       17.473
        1305         1305         2048        0.527        0.529        0.313        0.318       37.406       12.381       16.847       18.012
        1306         1740         2048        0.527        0.528        0.313        0.319       43.261       12.446       16.905       18.013
        1740         1740         2048        0.425        0.427        0.417        0.425       38.856       14.069       18.299       18.645
        1741         2610         4096        0.653        0.654        0.208        0.212       47.261       10.857       13.852       17.581
        2610         2610         4096        0.527        0.529        0.312        0.318       38.502       12.650       16.877       18.497
        2611         3481         4096        0.526        0.529        0.312        0.319       44.287       12.670       16.862       18.510
        3481         3481         4096        0.424        0.427        0.416        0.425       39.700       14.766       18.583       20.824
        3482         5221         8192        0.650        0.654        0.200        0.212       47.639       11.082       14.128       20.042
        5221         5221         8192        0.523        0.529        0.300        0.319       38.829       13.031       17.427       19.443
        5222         6963         8192        0.523        0.529        0.301        0.319       44.291       13.041       17.473       19.453
        6963         6963         8192        0.419        0.427        0.400        0.425       39.403       15.060       19.167       20.417
        6964        10444        16384        0.650        0.654        0.199        0.212       47.746       11.327       14.406       19.120
       10444        10444        16384        0.523        0.529        0.299        0.319       38.712       13.327       17.978       20.092
       10445        13926        16384        0.523        0.529        0.298        0.319       43.905       13.268       17.996       20.113
       13926        13926        16384        0.420        0.427        0.398        0.425       38.908       15.332       19.722       21.045
       13927        20889        32768        0.650        0.654        0.197        0.212       47.258       11.394       14.662       19.484
       20889        20889        32768        0.522        0.529        0.295        0.319       38.809       13.390       18.246       20.523
       20890        27852        32768        0.522        0.529        0.295        0.319       44.350       13.409       18.268       20.567
       27852        27852        32768        0.418        0.427        0.393        0.425       39.527       15.503       20.050       21.563
       27853        41778        65536        0.651        0.654        0.199        0.212       49.071       12.462       14.774       20.048
       41125        41778        65536        0.530        0.534        0.294        0.314       40.254       13.832       18.605       21.309
