       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       63.189       12.679       19.235       26.439
           7            7            8        0.393        0.393        0.375        0.375       36.036       24.088       29.206       29.076
           8           10           16        0.597        0.597        0.219        0.219       48.663       21.533       25.707       27.783
          10           10           16        0.524        0.524        0.281        0.281       49.113       22.332       27.490       28.287
          11           13           16        0.492        0.492        0.313        0.313       53.369       22.148       27.415       27.900
          13           13           16        0.432        0.432        0.375        0.375       51.522       23.539       28.509       28.455
          14           19           32        0.641        0.641        0.203        0.203       65.733       19.520       23.338       26.676
          19           19           32        0.547        0.547        0.282        0.281       54.026       20.885       25.869       27.482
          20           28           32        0.530        0.530        0.297        0.297       61.354       21.825       26.844       28.082
          28           28           32        0.411        0.411        0.422        0.422       60.829       23.317       28.144       27.865
          29           42           64        0.633        0.633        0.219        0.219       59.527       19.017       22.709       26.044
          42           42           64        0.516        0.516        0.320        0.320       53.625       20.397       25.520       26.257
          43           54           64        0.508        0.508        0.329        0.328       61.519       20.366       25.583       26.113
          54           54           64        0.427        0.427        0.414        0.414       56.265       23.055       27.882       27.782
          55           81          128        0.650        0.650        0.211        0.211       56.892       18.851       22.303       26.138
          81           81          128        0.530        0.530        0.313        0.313       51.116       18.721       23.751       24.930
          82          108          128        0.526        0.526        0.317        0.316       62.285       18.701       23.822       24.971
         108          108          128        0.429        0.429        0.418        0.418       52.148       22.744       27.733       27.813
         109          162          256        0.653        0.653        0.211        0.211       55.472       18.661       22.064       25.855
         162          162          256        0.530        0.530        0.314        0.314       52.067       18.543       23.637       24.725
         163          217          256        0.528        0.528        0.316        0.316       57.198       18.540       23.616       24.808
         217          217          256        0.428        0.428        0.422        0.422       47.523       19.538       24.467       24.578
         218          325          512        0.653        0.653        0.212        0.212       56.217       15.329       18.884       22.739
         325          325          512        0.529        0.530        0.316        0.316       43.938       16.281       21.456       22.707
         326          435          512        0.528        0.529        0.317        0.317       48.639       16.300       21.483       22.854
         435          435          512        0.427        0.427        0.423        0.424       47.490       17.862       22.860       22.897
         436          652         1024        0.653        0.653        0.212        0.212       53.418       13.726       17.392       21.260
         652          652         1024        0.529        0.529        0.318        0.318       42.573       15.206       20.465       21.710
         653          870         1024        0.528        0.528        0.318        0.318       47.082       15.195       20.406       21.696
         870          870         1024        0.427        0.427        0.424        0.424       42.796       16.990       22.053       22.349
         871         1305         2048        0.654        0.654        0.212        0.212       52.186       12.899       16.511       20.734
        1305         1305         2048        0.529        0.529        0.319        0.318       42.805       14.706       19.913       21.303
        1306         1740         2048        0.529        0.528        0.319        0.319       48.618       14.724       19.932       21.302
        1740         1740         2048        0.428        0.427        0.425        0.425       43.698       16.718       21.759       21.991
        1741         2610         4096        0.654        0.654        0.212        0.212       53.118       12.828       16.262       20.827
        2610         2610         4096        0.529        0.529        0.318        0.318       43.641       15.079       19.955       21.906
        2611         3481         4096        0.529        0.529        0.319        0.319       49.297       15.102       19.930       21.993
        3481         3481         4096        0.427        0.427        0.424        0.425       44.229       17.544       22.069       23.210
        3482         5221         8192        0.653        0.654        0.212        0.212       53.411       13.372       16.548       22.180
        5221         5221         8192        0.528        0.529        0.318        0.319       43.620       15.760       20.499       22.995
        5222         6963         8192        0.528        0.529        0.318        0.319       49.295       15.777       20.521       22.980
        6963         6963         8192        0.427        0.427        0.424        0.425       43.830       18.214       22.846       24.055
        6964        10444        16384        0.653        0.654        0.211        0.212       53.517       13.700       16.875       22.567
       10444        10444        16384        0.528        0.529        0.317        0.319       43.603       16.100       21.058       23.623
       10445        13926        16384        0.528        0.529        0.316        0.319       48.906       16.007       21.044       23.617
       13926        13926        16384        0.427        0.427        0.423        0.425       43.966       18.469       23.367       24.729
       13927        20889        32768        0.653        0.654        0.210        0.212       52.918       13.836       17.050       22.935
       20889        20889        32768        0.528        0.529        0.315        0.319       43.697       16.161       21.298       24.007
       20890        27852        32768        0.528        0.529        0.315        0.319       49.249       16.139       21.277       24.015
       27852        27852        32768        0.426        0.427        0.420        0.425       44.209       18.638       23.663       25.098
       27853        41778        65536        0.653        0.654        0.210        0.212       54.832       14.949       17.187       23.289
       41112        41778        65536        0.532        0.534        0.310        0.314       45.373       16.387       21.520       24.605
