       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       60.704       13.011       18.631       23.880
           7            7            8        0.393        0.393        0.375        0.375       33.373       22.132       26.188       26.339
           8           10           16        0.597        0.597        0.218        0.219       45.121       19.965       23.310       24.778
          10           10           16        0.525        0.524        0.281        0.281       45.154       20.679       24.659       25.421
          11           13           16        0.492        0.492        0.312        0.313       50.102       20.326       24.413       24.990
          13           13           16        0.432        0.432        0.375        0.375       47.853       21.512       25.390       25.686
          14           19           32        0.641        0.641        0.202        0.203       65.001       18.122       21.121       23.752
          19           19           32        0.547        0.547        0.281        0.281       50.243       18.968       22.851       24.182
          20           28           32        0.530        0.530        0.297        0.297       57.730       20.028       24.070       25.244
          28           28           32        0.411        0.411        0.422        0.422       56.440       21.105       24.832       25.071
          29           42           64        0.633        0.633        0.218        0.219       58.755       17.624       20.387       22.823
          42           42           64        0.516        0.516        0.320        0.320       48.932       18.268       22.534       23.443
          43           54           64        0.508        0.508        0.328        0.328       57.280       18.399       22.607       23.349
          54           54           64        0.427        0.427        0.414        0.414       52.435       20.997       24.925       25.222
          55           81          128        0.650        0.650        0.211        0.211       60.321       17.222       20.293       23.223
          81           81          128        0.530        0.530        0.312        0.313       46.003       16.688       21.069       22.020
          82          108          128        0.526        0.526        0.316        0.316       56.401       16.642       21.051       22.054
         108          108          128        0.428        0.429        0.417        0.418       47.747       20.836       24.982       25.304
         109          162          256        0.652        0.653        0.210        0.211       49.536       16.978       19.929       23.011
         162          162          256        0.530        0.530        0.313        0.314       46.274       16.585       20.971       21.879
         163          217          256        0.528        0.528        0.315        0.316       51.710       16.506       20.817       21.534
         217          217          256        0.427        0.428        0.420        0.422       42.488       16.971       21.275       21.370
         218          325          512        0.652        0.653        0.210        0.212       50.422       13.779       16.678       19.790
         325          325          512        0.529        0.530        0.313        0.316       38.814       14.208       18.656       19.721
         326          435          512        0.528        0.529        0.314        0.317       43.502       14.154       18.516       19.778
         435          435          512        0.425        0.427        0.419        0.424       43.313       15.236       19.629       19.925
         436          652         1024        0.653        0.653        0.211        0.212       48.256       11.940       15.047       18.307
         652          652         1024        0.528        0.529        0.316        0.318       37.600       13.028       17.527       19.157
         653          870         1024        0.528        0.528        0.317        0.318       42.156       13.051       17.442       18.523
         870          870         1024        0.427        0.427        0.422        0.424       37.555       14.470       18.735       19.188
         871         1305         2048        0.653        0.654        0.209        0.212       46.224       11.173       14.145       17.493
        1305         1305         2048        0.527        0.529        0.313        0.318       38.061       12.464       16.935       18.067
        1306         1740         2048        0.527        0.528        0.313        0.319       43.533       12.521       16.953       18.159
        1740         1740         2048        0.425        0.427        0.417        0.425       39.171       14.130       18.358       18.766
        1741         2610         4096        0.652        0.654        0.208        0.212       47.279       10.960       13.873       17.646
        2610         2610         4096        0.526        0.529        0.311        0.318       38.509       12.773       16.965       18.553
        2611         3481         4096        0.526        0.529        0.312        0.319       45.413       12.802       16.954       18.572
        3481         3481         4096        0.424        0.427        0.415        0.425       39.471       14.887       18.698       21.112
        3482         5221         8192        0.651        0.654        0.201        0.212       47.657       11.324       14.280       19.562
        5221         5221         8192        0.523        0.529        0.302        0.319       38.618       13.234       17.531       19.521
        5222         6963         8192        0.523        0.529        0.302        0.319       44.100       13.245       17.569       19.530
        6963         6963         8192        0.420        0.427        0.403        0.425       39.350       15.341       19.327       20.547
        6964        10444        16384        0.650        0.654        0.199        0.212       47.849       11.515       14.693       19.166
       10444        10444        16384        0.522        0.529        0.299        0.319       38.474       13.529       18.190       20.181
       10445        13926        16384        0.522        0.529        0.299        0.319       43.726       13.437       18.224       20.187
       13926        13926        16384        0.419        0.427        0.398        0.425       39.001       15.505       20.025       21.174
       13927        20889        32768        0.650        0.654        0.198        0.212       47.069       11.615       14.920       19.574
       20889        20889        32768        0.522        0.529        0.297        0.319       38.399       13.607       18.427       20.653
       20890        27852        32768        0.522        0.529        0.297        0.319       44.063       13.638       18.357       20.672
       27852        27852        32768        0.419        0.427        0.396        0.425       39.255       15.748       20.148       21.751
       27853        41778        65536        0.652        0.654        0.200        0.212       48.778       12.678       14.906       20.077
       41111        41778        65536        0.532        0.534        0.296        0.314       40.050       13.979       18.715       21.297
